,Наименование,Год,Регистрационный номер,"Возраст компании, лет",Дата ликвидации,Вид деятельности/отрасль,Форма собственности,Важная информация,"Коэффициент быстрой ликвидности, %","Коэффициент обеспеченности собственными оборотными средствами, %","Коэффициент оборачиваемости совокупных активов, %","Коэффициент текущей ликвидности, %","Оборачиваемость дебиторской задолженности, разы","Оборачиваемость кредиторской задолженности, разы","Рентабельность активов (ROA), %","Рентабельность капитала (ROE), %","Рентабельность продаж, %","Соотношение совокупного долга к капиталу, %",next_year_liqudation
1370,"БАШПРОМКОМПЛЕКТ, ООО",2015,1020202079303.0,33.0,2018,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,0.7914,-0.2635,0.524,0.7914,0.6,0.5,-0.0874,1.9396,-0.202,0.0,0
1371,"БАШПРОМКОМПЛЕКТ, ООО",2016,1020202079303.0,33.0,2018,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,0.7608,-0.3144,0.0188,0.7608,0.0,0.0,-0.043,0.197,-3.4483,0.0,0
1372,"БАШПРОМКОМПЛЕКТ, ООО",2017,1020202079303.0,33.0,2018,"Разработка гравийных и песчаных карьеров, добыча глины и каолина",16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,0.7428,-0.3463,0.0,0.7428,0.0,0.0,-0.0215,0.0846,,0.0,1
1806,"БТЗ, ОАО",2015,1020203077091.0,31.0,2018,Производство автобусов и троллейбусов,16 - Частная собственность,Ликвидировано вследствие банкротства (24.05.2018).,0.023,-7.1562,0.0144,0.1729,0.2,0.0,-0.295,0.1855,-8.8742,-0.5052,0
1807,"БТЗ, ОАО",2016,1020203077091.0,31.0,2018,Производство автобусов и троллейбусов,16 - Частная собственность,Ликвидировано вследствие банкротства (24.05.2018).,0.0403,-33.2536,0.0286,0.0403,0.4,0.0,-0.5039,0.2107,-15.4967,-0.3991,0
1808,"БТЗ, ОАО",2017,1020203077091.0,31.0,2018,Производство автобусов и троллейбусов,16 - Частная собственность,Ликвидировано вследствие банкротства (24.05.2018).,0.0309,-42.5811,0.0,0.0309,0.0,0.0,-0.066,0.0197,,-0.3574,1
1360,"БАЧА, ООО",2015,1021300985111.0,31.0,2018,Деятельность больничных организаций,16 - Частная собственность,Ликвидировано вследствие банкротства (13.12.2018).,0.0001,-674.2656,18.2153,0.0015,6462.8,0.6,-2.9335,0.0633,-0.143,-0.3012,0
1361,"БАЧА, ООО",2016,1021300985111.0,31.0,2018,Деятельность больничных организаций,16 - Частная собственность,Ликвидировано вследствие банкротства (13.12.2018).,0.0007,-536.7614,17.9825,0.0019,873.5,0.4,-5.0979,0.0919,-0.269,-0.2786,0
1362,"БАЧА, ООО",2017,1021300985111.0,31.0,2018,Деятельность больничных организаций,16 - Частная собственность,Ликвидировано вследствие банкротства (13.12.2018).,,-49183.0,16.7168,,476.4,0.2,-6.5915,0.055,-0.2976,-0.2682,1
15091,"ФАРММЕД, ООО",2015,1021602496871.0,23.0,2018,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),16 - Частная собственность,Ликвидировано вследствие банкротства (27.12.2018).,1.0078,0.6126,3.1452,2.5813,9.3,8.1,0.0784,0.142,0.037,0.0487,0
15093,"ФАРММЕД, ООО",2016,1021602496871.0,23.0,2018,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),16 - Частная собственность,Ликвидировано вследствие банкротства (27.12.2018).,0.0446,-6.2482,2.2228,0.138,6.1,2.8,-1.9996,-14.0879,-0.2106,-0.1055,0
15095,"ФАРММЕД, ООО",2017,1021602496871.0,23.0,2018,Торговля розничная лекарственными средствами в специализированных магазинах (аптеках),16 - Частная собственность,Ликвидировано вследствие банкротства (27.12.2018).,0.0002,-5612.6667,1.3113,0.0002,4.1,0.1,-1.1611,0.0892,-0.069,-0.0986,1
15175,"ФИРМА ВЛАДИМИР, ЗАО",2015,1021801126522.0,33.0,2018,Деятельность ресторанов и услуги по доставке продуктов питания,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,0.0585,-8.6262,0.8963,0.1293,69.5,3.5,-0.0072,-0.0107,0.0158,0.1237,0
15176,"ФИРМА ВЛАДИМИР, ЗАО",2016,1021801126522.0,33.0,2018,Деятельность ресторанов и услуги по доставке продуктов питания,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,0.0637,-8.3398,0.0183,0.1326,1.0,0.1,-0.0064,-0.0106,0.0621,0.1251,0
15177,"ФИРМА ВЛАДИМИР, ЗАО",2017,1021801126522.0,33.0,2018,Деятельность ресторанов и услуги по доставке продуктов питания,16 - Частная собственность,Ликвидировано вследствие банкротства (06.08.2018).,0.306,-2.2681,0.4491,0.306,45.7,1.3,-0.1228,-0.2027,0.9443,0.0,1
1129,"АСТЭМ, ООО",2015,1022100973883.0,25.0,2018,Торговля оптовая эксплуатационными материалами и принадлежностями машин,16 - Частная собственность,Ликвидировано вследствие банкротства (21.11.2018).,0.6849,0.1141,2.5049,1.1288,5.0,2.8,0.0079,0.0807,0.0053,0.0,0
1130,"АСТЭМ, ООО",2016,1022100973883.0,25.0,2018,Торговля оптовая эксплуатационными материалами и принадлежностями машин,16 - Частная собственность,Ликвидировано вследствие банкротства (21.11.2018).,1.0024,0.7223,1.1778,3.6014,1.8,1.4,,,0.0008,0.0,0
1131,"АСТЭМ, ООО",2017,1022100973883.0,25.0,2018,Торговля оптовая эксплуатационными материалами и принадлежностями машин,16 - Частная собственность,Ликвидировано вследствие банкротства (21.11.2018).,0.0069,-21.2427,0.0,0.045,0.0,0.0,-20.1957,2.1538,,0.0,1
15222,"ФИРМА ЧУВАШМЯСОПРОМ, ООО",2015,1022100981385.0,33.0,2018,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (23.08.2018).,0.4439,0.1854,0.7219,1.2276,2.8,1.0,-0.0586,-0.2449,-0.0382,0.1397,0
15223,"ФИРМА ЧУВАШМЯСОПРОМ, ООО",2016,1022100981385.0,33.0,2018,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (23.08.2018).,0.0468,-9.6008,0.7051,0.0943,2.1,0.6,-1.0737,6.4757,-0.1205,0.0,0
15224,"ФИРМА ЧУВАШМЯСОПРОМ, ООО",2017,1022100981385.0,33.0,2018,Торговля оптовая неспециализированная,16 - Частная собственность,Ликвидировано вследствие банкротства (23.08.2018).,0.0253,-38.5382,0.5262,0.0253,1.1,0.0,-1.2503,0.0913,-1.2535,0.0,1
15713,"ЧЗЭУ, ООО",2015,1022101282884.0,26.0,2018,Производство электрической распределительной и регулирующей аппаратуры,16 - Частная собственность,Ликвидировано вследствие банкротства (31.07.2018).,0.4789,-0.0508,0.4833,0.9517,1.3,0.5,-0.0148,-1.3161,0.1912,18.3661,0
15714,"ЧЗЭУ, ООО",2016,1022101282884.0,26.0,2018,Производство электрической распределительной и регулирующей аппаратуры,16 - Частная собственность,Ликвидировано вследствие банкротства (31.07.2018).,0.3911,-0.1389,0.0079,0.878,0.0,0.0,-0.0907,2.1967,-11.1743,-0.931,0
15715,"ЧЗЭУ, ООО",2017,1022101282884.0,26.0,2018,Производство электрической распределительной и регулирующей аппаратуры,16 - Частная собственность,Ликвидировано вследствие банкротства (31.07.2018).,0.3272,-0.1999,0.0793,0.8334,0.2,0.1,-0.0729,0.5407,-1.4458,-0.024,1
1298,"БАЛТИМОР-КРАСНОДАР, ООО",2015,1022303951757.0,23.0,2018,Переработка и консервирование овощей (кроме картофеля) и грибов,16 - Частная собственность,Ликвидировано вследствие банкротства (21.08.2018).,0.0143,-68.828,0.0673,0.0143,1.0,0.0,-0.4683,0.1206,-2.2729,0.0,0
1299,"БАЛТИМОР-КРАСНОДАР, ООО",2016,1022303951757.0,23.0,2018,Переработка и консервирование овощей (кроме картофеля) и грибов,16 - Частная собственность,Ликвидировано вследствие банкротства (21.08.2018).,0.0251,-38.8679,0.0541,0.0251,0.4,0.0,4.9278,-0.635,-3.854,0.0,0
1300,"БАЛТИМОР-КРАСНОДАР, ООО",2017,1022303951757.0,23.0,2018,Переработка и консервирование овощей (кроме картофеля) и грибов,16 - Частная собственность,Ликвидировано вследствие банкротства (21.08.2018).,0.002,-487.6575,0.0045,0.002,0.0,0.0,-7.9907,0.1059,-130.96,0.0,1
7960,"НОВОПОКРОВСКФЕРММАШ, ОАО",2015,1022304421039.0,32.0,2018,Обработка металлических изделий механическая,16 - Частная собственность,Ликвидировано вследствие банкротства (28.06.2018).,0.3916,-0.4512,0.0112,0.7006,0.5,0.1,-0.0365,0.1756,-2.8877,-4.3196,0
7961,"НОВОПОКРОВСКФЕРММАШ, ОАО",2016,1022304421039.0,32.0,2018,Обработка металлических изделий механическая,16 - Частная собственность,Ликвидировано вследствие банкротства (28.06.2018).,0.375,-0.4949,0.0084,0.68,0.7,0.0,-0.0385,0.1546,-3.5682,-3.6998,0
7962,"НОВОПОКРОВСКФЕРММАШ, ОАО",2017,1022304421039.0,32.0,2018,Обработка металлических изделий механическая,16 - Частная собственность,Ликвидировано вследствие банкротства (28.06.2018).,0.3707,-0.5411,0.0106,0.659,1.4,0.0,-0.0561,0.1886,-2.1919,-2.0448,1
12361,"СТАРОМИНСКАЯ СЕЛЬХОЗТЕХНИКА, ЗАО",2015,1022304683279.0,32.0,2018,Ремонт машин и оборудования,16 - Частная собственность,Ликвидировано вследствие банкротства (25.10.2018).,0.7789,-0.2573,0.2548,0.8326,0.3,0.3,-0.1628,2.7379,-0.2261,-0.3311,0
12362,"СТАРОМИНСКАЯ СЕЛЬХОЗТЕХНИКА, ЗАО",2016,1022304683279.0,32.0,2018,Ремонт машин и оборудования,16 - Частная собственность,Ликвидировано вследствие банкротства (25.10.2018).,0.6759,-0.3769,0.0107,0.7587,0.0,0.0,-0.1039,0.4863,-0.3139,-0.2016,0
12363,"СТАРОМИНСКАЯ СЕЛЬХОЗТЕХНИКА, ЗАО",2017,1022304683279.0,32.0,2018,Ремонт машин и оборудования,16 - Частная собственность,Ликвидировано вследствие банкротства (25.10.2018).,0.0032,-311.8008,0.3352,0.0032,0.4,0.1,-1.5637,1.1625,-0.247,0.0,1
14972,"УСТЬ-ЛАБИНСКГРАЖДАНСТРОЙ, ОАО",2015,1022304969060.0,29.0,2018,Производство эфирных масел,16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,,-30397.0,0.1506,,1.5,0.0,-1.0083,0.1785,-4.9873,-0.4092,0
14973,"УСТЬ-ЛАБИНСКГРАЖДАНСТРОЙ, ОАО",2016,1022304969060.0,29.0,2018,Производство эфирных масел,16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,0.0248,-39.2948,0.6221,0.0248,2.7,0.1,-0.7239,0.0422,-0.6654,-0.3923,0
14974,"УСТЬ-ЛАБИНСКГРАЖДАНСТРОЙ, ОАО",2017,1022304969060.0,29.0,2018,Производство эфирных масел,16 - Частная собственность,Ликвидировано вследствие банкротства (06.09.2018).,0.2304,-3.3396,2.9795,0.2304,14.0,0.7,1.0566,-0.1837,0.8517,-0.4716,1
8236,"ОКНО, ООО",2015,1022402059272.0,29.0,2018,"Производство пластмассовых изделий, используемых в строительстве",16 - Частная собственность,Ликвидировано вследствие банкротства (05.10.2018).,0.0986,-14.917,0.3101,0.0986,1.1,0.3,-1.4217,2.5802,-3.5155,-0.4426,0
8237,"ОКНО, ООО",2016,1022402059272.0,29.0,2018,"Производство пластмассовых изделий, используемых в строительстве",16 - Частная собственность,Ликвидировано вследствие банкротства (05.10.2018).,0.0597,-21.7872,0.0086,0.0597,0.1,0.0,-0.022,0.005,-0.56,-0.3117,0
8238,"ОКНО, ООО",2017,1022402059272.0,29.0,2018,"Производство пластмассовых изделий, используемых в строительстве",16 - Частная собственность,Ликвидировано вследствие банкротства (05.10.2018).,,,3.1506,,30.9,0.4,2.2089,-0.2582,,0.0,1
15637,"ЦУМ-ТЕХНО, ООО",2015,1022900834923.0,23.0,2018,"Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха",16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2018).,0.3044,-2.3355,1.3244,0.3063,2.2,0.5,-0.2297,0.1241,-0.1507,-0.0345,0
15638,"ЦУМ-ТЕХНО, ООО",2016,1022900834923.0,23.0,2018,"Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха",16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2018).,0.0809,-11.364,1.5877,0.0809,2.2,0.4,-1.7566,0.5071,-0.3299,0.0,0
15639,"ЦУМ-ТЕХНО, ООО",2017,1022900834923.0,23.0,2018,"Производство санитарно-технических работ, монтаж отопительных систем и систем кондиционирования воздуха",16 - Частная собственность,Ликвидировано вследствие банкротства (24.09.2018).,0.219,-3.5653,0.0,0.219,0.0,0.0,-0.1191,0.039,,0.0,1
11013,"СЕВЕР ПАРТНЕР, ЗАО",2015,1022901024178.0,23.0,2018,Деятельность агентств по временному трудоустройству,16 - Частная собственность,Ликвидировано вследствие банкротства (12.12.2018).,0.4059,-1.2541,0.1678,0.4436,0.3,0.2,-0.3136,1.7567,-1.6449,-0.5106,0
11014,"СЕВЕР ПАРТНЕР, ЗАО",2016,1022901024178.0,23.0,2018,Деятельность агентств по временному трудоустройству,16 - Частная собственность,Ликвидировано вследствие банкротства (12.12.2018).,0.1952,-3.7192,0.01,0.2119,0.0,0.0,-0.1703,0.2772,-22.1456,-0.1856,0
11015,"СЕВЕР ПАРТНЕР, ЗАО",2017,1022901024178.0,23.0,2018,Деятельность агентств по временному трудоустройству,16 - Частная собственность,Ликвидировано вследствие банкротства (12.12.2018).,0.0079,-120.4296,0.0,0.0082,0.0,0.0,-0.214,0.1321,,-0.203,1
1410,"БЕЛГОРОДАВИА, АО",2015,1023101675530.0,31.0,2018,"Деятельность вспомогательная прочая, связанная с воздушным транспортом",16 - Частная собственность,Ликвидировано вследствие банкротства (29.06.2018).,0.0842,-18.0579,0.6701,0.1042,6.5,0.5,-0.7747,0.4857,-1.4195,-0.772,0
1411,"БЕЛГОРОДАВИА, АО",2016,1023101675530.0,31.0,2018,"Деятельность вспомогательная прочая, связанная с воздушным транспортом",16 - Частная собственность,Ликвидировано вследствие банкротства (29.06.2018).,0.006,-122.7069,0.5295,0.0198,7.6,0.3,-0.1251,0.0516,-0.1749,-0.7549,0
1412,"БЕЛГОРОДАВИА, АО",2017,1023101675530.0,31.0,2018,"Деятельность вспомогательная прочая, связанная с воздушным транспортом",16 - Частная собственность,Ликвидировано вследствие банкротства (29.06.2018).,0.002,-1209.9472,0.0135,0.002,1.9,0.0,-1.7351,0.2139,-3.3634,-0.5855,1
12349,"СТАР ГЛАСС, ОАО",2015,1023200525270.0,32.0,2018,"Производство прочих изделий из стекла, не включенных в другие группировки",16 - Частная собственность,Ликвидировано вследствие банкротства (13.09.2018).,0.3348,-1.5402,0.0025,0.5517,0.0,0.0,-0.1128,0.1364,-21.1275,-1.2989,0
12350,"СТАР ГЛАСС, ОАО",2016,1023200525270.0,32.0,2018,"Производство прочих изделий из стекла, не включенных в другие группировки",16 - Частная собственность,Ликвидировано вследствие банкротства (13.09.2018).,0.3683,-2.0398,0.0103,0.4541,0.3,0.0,-0.1835,0.1818,-1.2111,-1.1689,0
12351,"СТАР ГЛАСС, ОАО",2017,1023200525270.0,32.0,2018,"Производство прочих изделий из стекла, не включенных в другие группировки",16 - Частная собственность,Ликвидировано вследствие банкротства (13.09.2018).,0.3625,-2.756,0.0056,0.3643,0.3,0.0,-0.3222,0.2182,-6.4754,-0.9869,1
2088,"ВЗ ЖБИ №1, ОАО",2015,1023402970030.0,32.0,2018,Работы по сборке и монтажу сборных конструкций,16 - Частная собственность,Ликвидировано вследствие банкротства (24.12.2018).,0.2683,-0.993,0.0064,0.6136,0.0,0.0,-0.0089,0.0247,0.9706,-0.611,0
2089,"ВЗ ЖБИ №1, ОАО",2016,1023402970030.0,32.0,2018,Работы по сборке и монтажу сборных конструкций,16 - Частная собственность,Ликвидировано вследствие банкротства (24.12.2018).,0.2518,-2.1779,0.006,0.3233,0.0,0.0,-0.3202,0.5243,0.9786,-0.0141,0
2090,"ВЗ ЖБИ №1, ОАО",2017,1023402970030.0,32.0,2018,Работы по сборке и монтажу сборных конструкций,16 - Частная собственность,Ликвидировано вследствие банкротства (24.12.2018).,0.2182,-2.5975,0.0003,0.2856,0.0,0.0,-0.0633,0.058,-2.059,-0.0115,1
11159,"СЕРВИС-ПРОДУКТ, ООО",2015,1023404240639.0,27.0,2018,"Торговля оптовая алкогольными напитками, включая пиво и пищевой этиловый спирт",16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,0.8708,0.1078,3.8501,1.1244,5.8,6.7,0.0079,0.0496,0.005,0.8065,0
11160,"СЕРВИС-ПРОДУКТ, ООО",2016,1023404240639.0,27.0,2018,"Торговля оптовая алкогольными напитками, включая пиво и пищевой этиловый спирт",16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,0.9565,0.0219,1.1629,1.0229,3.0,2.5,0.0035,0.0663,0.0228,16.7653,0
11161,"СЕРВИС-ПРОДУКТ, ООО",2017,1023404240639.0,27.0,2018,"Торговля оптовая алкогольными напитками, включая пиво и пищевой этиловый спирт",16 - Частная собственность,Ликвидировано вследствие банкротства (16.11.2018).,0.8109,-0.0302,0.5128,0.9707,1.4,1.4,-0.0633,-2.0014,0.0017,-6730.7143,1
9565,"ПСК ВАШ ДОМ, ЗАО",2015,1023405562113.0,26.0,2018,Работы столярные и плотничные,16 - Частная собственность,Ликвидировано вследствие банкротства (23.07.2018).,0.0175,-56.2408,0.1475,0.0175,38.7,0.5,-0.0842,-0.1516,-0.2651,0.3335,0
9566,"ПСК ВАШ ДОМ, ЗАО",2016,1023405562113.0,26.0,2018,Работы столярные и плотничные,16 - Частная собственность,Ликвидировано вследствие банкротства (23.07.2018).,0.0172,-57.0246,0.0,0.0172,0.0,0.0,-0.0062,-0.0113,,0.3373,0
9567,"ПСК ВАШ ДОМ, ЗАО",2017,1023405562113.0,26.0,2018,Работы столярные и плотничные,16 - Частная собственность,Ликвидировано вследствие банкротства (23.07.2018).,,,0.0214,,2.7,0.1,-0.0097,-0.0179,,0.3373,1
7795,"НИВА, К/Х ГРЕБЕНЮКА В. В.",2015,1023502493860.0,33.0,2018,"Разведение молочного крупного рогатого скота, производство сырого молока",16 - Частная собственность,Ликвидировано вследствие банкротства (20.06.2018).,0.0389,-24.7168,0.2915,0.0389,,2.7,-0.6414,-2.8021,-2.2008,-5.7092,0
7796,"НИВА, К/Х ГРЕБЕНЮКА В. В.",2016,1023502493860.0,33.0,2018,"Разведение молочного крупного рогатого скота, производство сырого молока",16 - Частная собственность,Ликвидировано вследствие банкротства (20.06.2018).,0.0783,-11.7657,0.5739,0.0783,,4.4,-0.0445,0.0553,-0.0775,-1.271,0
7797,"НИВА, К/Х ГРЕБЕНЮКА В. В.",2017,1023502493860.0,33.0,2018,"Разведение молочного крупного рогатого скота, производство сырого молока",16 - Частная собственность,Ликвидировано вследствие банкротства (20.06.2018).,0.0266,-36.664,0.1314,0.0266,,0.2,,,,-0.8877,1
7626,"НАРОДНЕНСКИЙ КРУПОЗАВОД, ОАО",2015,1023600610440.0,26.0,2018,Производство крупы и гранул из зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (14.09.2018).,0.503,-0.3775,0.0227,0.726,0.1,0.2,-0.0249,0.0699,-0.8761,-3.2588,0
7627,"НАРОДНЕНСКИЙ КРУПОЗАВОД, ОАО",2016,1023600610440.0,26.0,2018,Производство крупы и гранул из зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (14.09.2018).,0.492,-0.4038,0.0261,0.7123,0.2,0.2,-0.0233,0.0596,-0.686,-3.0704,0
7628,"НАРОДНЕНСКИЙ КРУПОЗАВОД, ОАО",2017,1023600610440.0,26.0,2018,Производство крупы и гранул из зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (14.09.2018).,0.5622,-0.7786,0.0201,0.5622,0.1,0.1,-0.1006,0.1791,-0.6794,-1.9823,1
14123,"ТРИЕР, АО",2015,1023601558980.0,29.0,2018,Производство машин и сельскохозяйственного оборудования для обработки почвы,16 - Частная собственность,Ликвидировано вследствие банкротства (14.03.2018).,0.1743,-5.1034,0.2807,0.1743,4.3,0.3,-0.2792,0.5723,-0.4346,-0.7431,0
14124,"ТРИЕР, АО",2016,1023601558980.0,29.0,2018,Производство машин и сельскохозяйственного оборудования для обработки почвы,16 - Частная собственность,Ликвидировано вследствие банкротства (14.03.2018).,0.1586,-2.4382,0.0001,0.2908,0.0,0.0,-0.0236,0.0174,-215.125,0.0,0
14125,"ТРИЕР, АО",2017,1023601558980.0,29.0,2018,Производство машин и сельскохозяйственного оборудования для обработки почвы,16 - Частная собственность,Ликвидировано вследствие банкротства (14.03.2018).,,,0.0487,,1.4,0.0,-1.8284,0.7499,-0.0008,,1
15429,"ХИМПРОМ, ООО ПО",2015,1024200698653.0,25.0,2018,Производство прочих основных органических химических веществ,16 - Частная собственность,Ликвидировано вследствие банкротства (25.09.2018).,0.5792,-0.5645,1.0447,0.6434,2.6,1.7,-0.0375,-0.1083,-0.0069,0.1329,0
15430,"ХИМПРОМ, ООО ПО",2016,1024200698653.0,25.0,2018,Производство прочих основных органических химических веществ,16 - Частная собственность,Ликвидировано вследствие банкротства (25.09.2018).,0.5547,-0.738,0.766,0.5785,1.6,0.9,-0.1001,-0.6272,-0.1366,0.2998,0
15431,"ХИМПРОМ, ООО ПО",2017,1024200698653.0,25.0,2018,Производство прочих основных органических химических веществ,16 - Частная собственность,Ликвидировано вследствие банкротства (25.09.2018).,0.57,-0.7619,0.0,0.57,0.0,0.0,-0.4546,4.2968,,-0.109,1
1491,"БИГ ХООМ, ООО",2015,1024201675453.0,24.0,2018,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",16 - Частная собственность,Ликвидировано вследствие банкротства (26.12.2018).,0.3144,-11.8638,0.0529,0.3144,5.2,0.2,-0.1018,1.1734,-0.5319,-6.0478,0
1492,"БИГ ХООМ, ООО",2016,1024201675453.0,24.0,2018,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",16 - Частная собственность,Ликвидировано вследствие банкротства (26.12.2018).,0.0937,-35.5293,0.0137,0.0937,1.8,0.0,-0.5748,1.1547,1.0,-1.1764,0
1493,"БИГ ХООМ, ООО",2017,1024201675453.0,24.0,2018,"Торговля розничная преимущественно пищевыми продуктами, включая напитки, и табачными изделиями в неспециализированных магазинах",16 - Частная собственность,Ликвидировано вследствие банкротства (26.12.2018).,0.1081,-35.6468,0.0,0.1081,,0.0,-1.3028,0.3727,,-0.7686,1
6460,"ЛЕНИНСКИЙ ПУТЬ, СХА КОЛХОЗ",2015,1024300954413.0,32.0,2018,Выращивание однолетних культур,16 - Частная собственность,Ликвидировано вследствие банкротства (20.11.2018).,0.3891,0.3286,0.4818,1.5653,2.8,2.5,-0.0516,-0.0906,-0.1208,0.4317,0
6461,"ЛЕНИНСКИЙ ПУТЬ, СХА КОЛХОЗ",2016,1024300954413.0,32.0,2018,Выращивание однолетних культур,16 - Частная собственность,Ликвидировано вследствие банкротства (20.11.2018).,0.7504,0.3651,0.635,1.5749,3.5,2.3,-0.1944,-0.3336,-0.4819,0.0,0
6462,"ЛЕНИНСКИЙ ПУТЬ, СХА КОЛХОЗ",2017,1024300954413.0,32.0,2018,Выращивание однолетних культур,16 - Частная собственность,Ликвидировано вследствие банкротства (20.11.2018).,0.3626,-1.7581,0.0,0.3626,0.0,0.0,-0.6882,14.364,,0.0,1
5576,"КЛЗЦ, ОАО",2015,1025002510191.0,33.0,2018,Литье чугуна,16 - Частная собственность,Ликвидировано вследствие банкротства (21.05.2018).,0.1598,-5.2611,0.4115,0.1599,1.4,0.2,-0.1094,0.1051,-0.1417,-0.0027,0
5577,"КЛЗЦ, ОАО",2016,1025002510191.0,33.0,2018,Литье чугуна,16 - Частная собственность,Ликвидировано вследствие банкротства (21.05.2018).,0.1545,-5.475,0.0005,0.1546,0.0,0.0,-0.0341,0.0321,-80.2047,-0.0029,0
5578,"КЛЗЦ, ОАО",2017,1025002510191.0,33.0,2018,Литье чугуна,16 - Частная собственность,Ликвидировано вследствие банкротства (21.05.2018).,0.0093,-106.7259,0.0,0.0093,0.0,0.0,-0.6715,0.3795,,-0.002,1
3227,"ГРЯДКИНО, ЗАО",2015,1025002586542.0,31.0,2018,Деятельность по складированию и хранению,16 - Частная собственность,Ликвидировано вследствие банкротства (31.05.2018).,,,0.5382,,1.5,0.4,-0.2673,0.5136,,-0.3182,0
3228,"ГРЯДКИНО, ЗАО",2016,1025002586542.0,31.0,2018,Деятельность по складированию и хранению,16 - Частная собственность,Ликвидировано вследствие банкротства (31.05.2018).,0.3208,-2.0194,0.7685,0.3308,1.6,0.5,-0.0864,0.1168,-0.1213,-0.2831,0
3229,"ГРЯДКИНО, ЗАО",2017,1025002586542.0,31.0,2018,Деятельность по складированию и хранению,16 - Частная собственность,Ликвидировано вследствие банкротства (31.05.2018).,0.2127,-3.6941,0.5684,0.2127,0.9,0.3,-0.6291,0.4333,-0.0723,-0.1814,1
7499,"МУРМАНСКТИСИЗ, ЗАО",2015,1025100853414.0,32.0,2018,"Создание геодезической, нивелирной, гравиметрической сетей",16 - Частная собственность,Ликвидировано вследствие банкротства (22.08.2018).,0.6718,-0.4659,0.5875,0.6822,1.2,0.4,-0.1201,0.3688,-0.5046,-0.0076,0
7500,"МУРМАНСКТИСИЗ, ЗАО",2016,1025100853414.0,32.0,2018,"Создание геодезической, нивелирной, гравиметрической сетей",16 - Частная собственность,Ликвидировано вследствие банкротства (22.08.2018).,0.341,-1.9279,0.1983,0.3415,0.6,0.1,-0.7608,0.8534,-1.9859,-0.0041,0
7501,"МУРМАНСКТИСИЗ, ЗАО",2017,1025100853414.0,32.0,2018,"Создание геодезической, нивелирной, гравиметрической сетей",16 - Частная собственность,Ликвидировано вследствие банкротства (22.08.2018).,0.375,-1.6669,0.0,0.375,0.0,0.0,0.1206,-0.0711,,-0.0042,1
15852,"ШАТКОВСКИЙ ЗЕРНОПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС, ОАО",2015,1025200912351.0,26.0,2018,Производство муки из зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (30.11.2018).,1.2918,0.2353,0.0811,1.3076,0.2,0.1,-0.0482,-0.1379,-0.4873,0.2459,0
15853,"ШАТКОВСКИЙ ЗЕРНОПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС, ОАО",2016,1025200912351.0,26.0,2018,Производство муки из зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (30.11.2018).,1.2379,0.2007,0.0013,1.251,0.0,0.0,-0.0114,-0.0362,-7.1607,0.2549,0
15854,"ШАТКОВСКИЙ ЗЕРНОПЕРЕРАБАТЫВАЮЩИЙ КОМПЛЕКС, ОАО",2017,1025200912351.0,26.0,2018,Производство муки из зерновых культур,16 - Частная собственность,Ликвидировано вследствие банкротства (30.11.2018).,1.2386,0.2011,0.0013,1.2518,0.0,0.0,-0.067,-0.2483,-4.1869,0.3272,1
1485,"БЗХК, ОАО",2015,1025201453837.0,29.0,2018,"Дубление и выделка кожи, выделка и крашение меха",16 - Частная собственность,Ликвидировано вследствие банкротства (07.08.2018).,3.9618,-0.1618,0.3253,4.0675,1.1,1.5,-0.0541,-5.7469,-0.0941,-49.89,0
