iter	Recall	Logloss
0	0.9226327945	0.6660755763
1	0.941108545	0.6398887021
2	0.9399538106	0.6134518082
3	0.9457274827	0.5885527898
4	0.9491916859	0.5652086814
5	0.9538106236	0.5445158508
6	0.954965358	0.5239371282
7	0.954965358	0.5052456445
8	0.954965358	0.4874431003
9	0.9595842956	0.4701260539
10	0.9584295612	0.4565117951
11	0.9561200924	0.4424828057
12	0.9538106236	0.4301202874
13	0.9561200924	0.4180985899
14	0.9538106236	0.407634381
15	0.9538106236	0.3946734016
16	0.954965358	0.3813790937
17	0.9526558891	0.371085567
18	0.9538106236	0.3603789765
19	0.9515011547	0.3529675208
20	0.9515011547	0.3460392029
21	0.9503464203	0.3366864147
22	0.9526558891	0.3274657071
23	0.9515011547	0.3203533224
24	0.9561200924	0.3126817684
25	0.9572748268	0.3059208532
26	0.9572748268	0.2985092265
27	0.9584295612	0.2928325448
28	0.954965358	0.2870095594
29	0.9572748268	0.2816240083
30	0.9572748268	0.2769535556
31	0.96073903	0.2708804827
32	0.9618937644	0.2655328343
33	0.96073903	0.259696593
34	0.9630484988	0.2563741049
35	0.9630484988	0.2508700085
36	0.9630484988	0.2464175412
37	0.9618937644	0.24336258
38	0.9618937644	0.2392716649
39	0.9618937644	0.2354849524
40	0.9618937644	0.2327945431
41	0.9630484988	0.2293666434
42	0.9642032333	0.2266086768
43	0.9630484988	0.2234025888
44	0.9642032333	0.2201742695
45	0.9642032333	0.2172566785
46	0.9653579677	0.2150768734
47	0.9653579677	0.2129986491
48	0.9665127021	0.2106776468
49	0.9665127021	0.2086129736
50	0.9665127021	0.2060585809
51	0.9665127021	0.2035275433
52	0.9676674365	0.2007263047
53	0.9676674365	0.1984336744
54	0.9676674365	0.1967347067
55	0.9676674365	0.1945668198
56	0.9676674365	0.1926793654
57	0.9676674365	0.190613542
58	0.9676674365	0.1887128207
59	0.9676674365	0.1870776064
60	0.9688221709	0.185476961
61	0.9688221709	0.1836086018
62	0.9688221709	0.1816132394
63	0.9699769053	0.1798188648
64	0.9711316397	0.1787758892
65	0.9711316397	0.177474586
66	0.9711316397	0.1755494806
67	0.9711316397	0.1739613255
68	0.9722863741	0.1725249036
69	0.9722863741	0.1711424641
70	0.9734411085	0.1699532176
71	0.974595843	0.1693362074
72	0.9734411085	0.1679221591
73	0.974595843	0.1667709989
74	0.974595843	0.1658135826
75	0.974595843	0.1645410405
76	0.974595843	0.16363442
77	0.974595843	0.162589466
78	0.974595843	0.1614829934
79	0.974595843	0.1605249436
80	0.9757505774	0.1591995469
81	0.9757505774	0.158065064
82	0.9757505774	0.1573222313
83	0.9757505774	0.1564233917
84	0.9769053118	0.1552265321
85	0.9769053118	0.1543469593
86	0.9769053118	0.1535523094
87	0.9769053118	0.1527010467
88	0.9780600462	0.1516696662
89	0.9780600462	0.1510978817
90	0.9792147806	0.150261618
91	0.9792147806	0.1495162051
92	0.980369515	0.1487346229
93	0.980369515	0.1480764301
94	0.980369515	0.1476223825
95	0.980369515	0.1467079196
96	0.980369515	0.145711368
97	0.980369515	0.1451309049
98	0.980369515	0.1443950342
99	0.980369515	0.1436151756
100	0.980369515	0.1431562783
101	0.980369515	0.1426830006
102	0.980369515	0.1419605365
103	0.980369515	0.1413976181
104	0.980369515	0.1406798317
105	0.980369515	0.1399899065
106	0.980369515	0.139536442
107	0.9815242494	0.1389396416
108	0.9815242494	0.1385483545
109	0.9815242494	0.1379635393
110	0.9815242494	0.1374901484
111	0.9815242494	0.1371602455
112	0.9815242494	0.1365945956
113	0.9815242494	0.1361543551
114	0.9815242494	0.1356828962
115	0.9815242494	0.1350677853
116	0.9826789838	0.1345859009
117	0.9826789838	0.1342612756
118	0.9826789838	0.1336608985
119	0.9826789838	0.1333372906
120	0.9826789838	0.1328284164
121	0.9826789838	0.1321785311
122	0.9826789838	0.131625205
123	0.9826789838	0.1312698284
124	0.9838337182	0.1306995528
125	0.9838337182	0.1303905926
126	0.9838337182	0.1299229428
127	0.9838337182	0.1295078816
128	0.9838337182	0.1291749364
129	0.9838337182	0.1286202398
130	0.9838337182	0.1282110492
131	0.9838337182	0.1278020835
132	0.9838337182	0.1272659733
133	0.9838337182	0.1268562148
134	0.9838337182	0.1264593557
135	0.9849884527	0.1261238229
136	0.9849884527	0.1258261394
137	0.9849884527	0.1256271466
138	0.9849884527	0.1251511577
139	0.9849884527	0.1246638867
140	0.9849884527	0.1242109426
141	0.9849884527	0.1237727721
142	0.9849884527	0.1235434057
143	0.9849884527	0.1230911138
144	0.9861431871	0.1227041525
145	0.9872979215	0.1225049037
146	0.9872979215	0.1221419988
147	0.9872979215	0.1218355944
148	0.9872979215	0.1216397463
149	0.9872979215	0.1213098925
150	0.9884526559	0.1209684371
151	0.9884526559	0.1207287715
152	0.9884526559	0.1202679436
153	0.9884526559	0.1199262089
154	0.9884526559	0.1196495086
155	0.9884526559	0.1192472716
156	0.9884526559	0.118900131
157	0.9884526559	0.1185512871
158	0.9884526559	0.1181252228
159	0.9884526559	0.1179026639
160	0.9896073903	0.1177172663
161	0.9896073903	0.1172854319
162	0.9907621247	0.1170105092
163	0.9907621247	0.1168332445
164	0.9907621247	0.1165471366
165	0.9907621247	0.1161287616
166	0.9907621247	0.1157414974
167	0.9907621247	0.1153541205
168	0.9907621247	0.1149979335
169	0.9907621247	0.114706815
170	0.9907621247	0.1144299603
171	0.9907621247	0.1140763828
172	0.9907621247	0.1138585451
173	0.9907621247	0.1135267918
174	0.9907621247	0.1133098286
175	0.9907621247	0.1129857928
176	0.9907621247	0.1126052913
177	0.9907621247	0.1123793851
178	0.9907621247	0.1121192838
179	0.9907621247	0.1118329228
180	0.9907621247	0.111537617
181	0.9907621247	0.1113249758
182	0.9919168591	0.111092476
183	0.9919168591	0.1109224706
184	0.9919168591	0.1109197831
185	0.9919168591	0.1106694723
186	0.9907621247	0.1103565707
187	0.9930715935	0.11011406
188	0.9930715935	0.1098919395
189	0.9930715935	0.1095754365
190	0.9930715935	0.1093352511
191	0.9930715935	0.1090157406
192	0.9930715935	0.1088835714
193	0.9930715935	0.1086869573
194	0.9930715935	0.1083421224
195	0.9930715935	0.1080924978
196	0.9930715935	0.1077904986
197	0.9930715935	0.1076438109
198	0.9930715935	0.1075962963
199	0.9930715935	0.1073371806
200	0.9942263279	0.1070095712
201	0.9942263279	0.1067394165
202	0.9942263279	0.1064171663
203	0.9942263279	0.1061487233
204	0.9942263279	0.1059079041
205	0.9942263279	0.1056389063
206	0.9942263279	0.105380091
207	0.9942263279	0.1051943516
208	0.9942263279	0.1049668599
209	0.9942263279	0.1046760077
210	0.9942263279	0.1044948401
211	0.9942263279	0.1043411654
212	0.9942263279	0.1040904221
213	0.9942263279	0.1037136382
214	0.9942263279	0.1033645569
215	0.9942263279	0.1030858191
216	0.9942263279	0.1027796232
217	0.9942263279	0.1026049122
218	0.9942263279	0.1022977041
219	0.9942263279	0.1019095797
220	0.9942263279	0.1016452139
221	0.9942263279	0.1014834299
222	0.9942263279	0.1011780878
223	0.9942263279	0.1010071708
224	0.9942263279	0.1008334275
225	0.9942263279	0.1006626922
226	0.9942263279	0.1003501288
227	0.9942263279	0.1001597493
228	0.9942263279	0.09999413406
229	0.9942263279	0.09967420597
230	0.9942263279	0.09933881531
231	0.9942263279	0.09910735113
232	0.9942263279	0.09888759878
233	0.9942263279	0.09875594981
234	0.9942263279	0.09846897642
235	0.9942263279	0.09830976425
236	0.9942263279	0.09811829347
237	0.9942263279	0.0978045848
238	0.9942263279	0.09766578337
239	0.9953810624	0.09741898984
240	0.9953810624	0.09722681056
241	0.9953810624	0.09695873268
242	0.9953810624	0.09675846598
243	0.9953810624	0.09661259044
244	0.9953810624	0.09646861316
245	0.9953810624	0.09631760716
246	0.9953810624	0.09613951779
247	0.9953810624	0.09583739098
248	0.9953810624	0.0957027082
249	0.9953810624	0.0955269892
250	0.9953810624	0.09539865617
251	0.9953810624	0.09510402294
252	0.9953810624	0.09498143479
253	0.9953810624	0.09480747635
254	0.9953810624	0.09459335116
255	0.9953810624	0.09442532424
256	0.9953810624	0.09429981269
257	0.9953810624	0.09407441561
258	0.9953810624	0.09394256205
259	0.9953810624	0.09393569544
260	0.9953810624	0.09369444555
261	0.9953810624	0.09360166031
262	0.9953810624	0.09347728813
263	0.9953810624	0.09325144843
264	0.9953810624	0.09310182093
265	0.9953810624	0.09291080069
266	0.9953810624	0.09270615773
267	0.9953810624	0.09252793307
268	0.9953810624	0.09239164665
269	0.9953810624	0.09225344028
270	0.9953810624	0.09203781079
271	0.9953810624	0.09182395134
272	0.9953810624	0.09162542797
273	0.9953810624	0.09137933162
274	0.9965357968	0.09114056119
275	0.9976905312	0.09101757743
276	0.9976905312	0.09089789717
277	0.9976905312	0.0907619244
278	0.9976905312	0.0905677804
279	0.9988452656	0.09042798098
280	0.9988452656	0.09030964924
281	0.9988452656	0.09019246615
282	0.9988452656	0.0900388898
283	0.9988452656	0.08994052808
284	0.9988452656	0.0897730288
285	0.9988452656	0.08970356435
286	0.9988452656	0.08949568363
287	0.9988452656	0.08939472138
288	1	0.08931372948
289	1	0.08917121589
290	1	0.08905581259
291	1	0.08887127757
292	1	0.08871094127
293	1	0.08859536773
294	1	0.08844149756
295	1	0.08834851607
296	1	0.088050404
297	1	0.08781487286
298	1	0.08767192547
299	1	0.087505097
300	1	0.08738322829
301	1	0.08726674425
302	1	0.08708519424
303	1	0.08696033613
304	1	0.08675657047
305	1	0.08651070768
306	1	0.08637633179
307	1	0.08626282061
308	1	0.08616486603
309	1	0.08603236847
310	1	0.08591001595
311	1	0.08573017335
312	1	0.08564262793
313	1	0.08560557708
314	1	0.08545015598
315	1	0.0853353885
316	1	0.08514957192
317	1	0.08490232399
318	1	0.08472886873
319	1	0.08462670899
320	1	0.08445598224
321	1	0.08431555942
322	1	0.08422170614
323	1	0.08406869865
324	1	0.08390322876
325	1	0.08375776072
326	1	0.08355989679
327	1	0.08343819778
328	1	0.08335353886
329	1	0.08318176158
330	1	0.08308873539
331	1	0.08300067395
332	1	0.08291646582
333	1	0.08280099359
334	1	0.08269630533
335	1	0.0825918258
336	1	0.08252391573
337	1	0.08244363576
338	1	0.08234085051
339	1	0.08223809386
340	1	0.08212738866
341	1	0.08195650186
342	1	0.08186748263
343	1	0.08172690622
344	1	0.0815941785
345	1	0.08147110004
346	1	0.08134419805
347	1	0.08127176087
348	1	0.08113455175
