№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
1;1161690106577;25.05.2016;9;31.03.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;44;34;;;;Ликвидировано (31.03.2022).;;51 176 000;45 943 000;;;;2 796 000;161 000;;;;2 787 000;1 000;;;;50 030 000;45 455 000;;;;
2;1161690105994;24.05.2016;9;19.04.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;57;47;;;;Ликвидировано (19.04.2022).;;51 670 000;45 235 000;;;;20 919 000;106 000;;;;15 585 000;;;;;51 669 000;45 235 000;;;;
3;1161690108997;31.05.2016;9;28.03.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;82;64;;;;Ликвидировано (28.03.2022).;;49 469 000;48 138 000;;;;4 577 000;15 000;;;;3 493 000;;;;;48 942 000;47 786 000;;;;
4;1161690092849;20.04.2016;9;06.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;44;36;24;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (06.12.2024).;;82 278 000;171 956 000;102 661 000;;;86 594 000;70 651 000;79 158 000;;;78 885 000;56 789 000;44 936 000;;;75 423 000;171 956 000;102 661 000;;;
5;1161690106710;26.05.2016;9;06.04.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;78;62;;;;Ликвидировано (06.04.2022).;;56 870 000;55 088 000;;;;1 270 000;168 000;;;;1 260 000;;;;;56 123 000;54 637 000;;;;
6;1097448009548;30.10.2009;15;19.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;21;17;3;5;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (19.06.2025).;;9 138 000;9 112 000;9 285 000;2 654 000;8 532 000;859 000;906 000;1 883 000;3 826 000;78 000;2 858 000;3 684 000;5 974 000;8 739 000;20 000;9 131 000;9 105 000;9 239 000;2 361 000;3 128 000;4 971 000
7;1121902001242;06.09.2012;13;26.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;28;10;1;;Ликвидировано (26.12.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";15 768 000;19 169 000;4 893 000;;;15 457 000;7 226 000;2 645 000;;;16 883 000;12 143 000;12 467 000;;;14 844 000;18 148 000;2 742 000;;;
8;1167154082941;20.12.2016;8;24.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;67;64;23;;;Ликвидировано (24.04.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";151 673 000;164 610 000;78 152 000;21 464 000;;210 578 000;137 869 000;145 042 000;2 000 000;;75 500 000;7 935 000;20 345 000;;;69 021 000;85 680 000;33 349 000;1 464 000;;
9;1116027002816;28.03.2011;14;24.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;19;10;2;2;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (24.07.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";63 129 000;48 651 000;39 809 000;14 561 000;52 635 000;39 953 000;37 654 000;35 579 000;44 572 000;21 554 000;4 989 000;886 000;118 000;81 000;40 000;34 946 000;25 971 000;9 476 000;;;270 000
10;1130280030924;16.05.2013;12;11.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;27;17;16;14;12;Прекратило деятельность при присоединении (11.03.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";31 399 000;36 035 000;33 106 000;36 067 000;39 724 000;59 286 000;51 256 000;41 488 000;30 633 000;20 714 000;60 998 000;48 990 000;32 635 000;13 945 000;12 050 000;31 377 000;35 909 000;32 982 000;35 307 000;39 443 000;9 306 000
