№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
11;1176820007616;31.05.2017;8;15.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;27;25;17;;;Прекратило деятельность при присоединении (15.06.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";60 094 000;57 489 000;40 820 000;;;55 419 000;41 284 000;39 936 000;;;11 343 000;10 940 000;9 107 000;;;59 484 000;57 489 000;37 976 000;;;
12;1190280060255;03.10.2019;6;08.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;22;25;1;;Ликвидировано (08.12.2023).;;153 353 000;152 947 000;178 820 000;;;38 459 000;41 001 000;28 943 000;;;37 909 000;39 903 000;27 215 000;;;152 947 000;152 603 000;178 441 000;;;
13;1126376000409;12.04.2012;13;31.10.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;208;89;12;;;Прекратило деятельность при присоединении (31.10.2022).;"""Реестр операторов, осуществляющих обработку персональных данных""";1 718 435 000;1 323 245 000;;;;812 622 000;738 838 000;;;;593 435 000;487 148 000;;;;1 486 419 000;1 129 743 000;;;;
14;1107448003299;26.04.2010;15;27.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;20;16;13;;Ликвидировано (27.06.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";15 717 000;20 803 000;17 050 000;12 012 000;;12 605 000;8 426 000;21 774 000;3 363 000;;9 383 000;3 708 000;17 312 000;2 051 000;;14 891 000;17 485 000;16 797 000;11 835 000;;
15;1186313028857;03.04.2018;7;26.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;31;25;17;4;1;Ликвидировано (26.06.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";135 113 000;45 581 000;16 465 000;1 972 000;542 000;79 667 000;67 412 000;32 328 000;11 757 000;6 766 000;10 979 000;8 621 000;307 000;1 059 000;1 155 000;133 939 000;45 521 000;13 061 000;498 000;;-5 087 000
16;1125835002556;07.06.2012;13;27.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;24;21;3;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (27.06.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";28 372 000;36 653 000;33 783 000;706 000;;23 025 000;21 154 000;2 927 000;206 000;;780 000;1 825 000;905 000;206 000;;26 581 000;35 760 000;33 454 000;530 000;;
17;1197325005789;21.03.2019;6;12.09.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;28;29;;;Ликвидировано (12.09.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";70 431 000;91 014 000;94 947 000;64 707 000;;29 281 000;39 745 000;32 705 000;;;27 344 000;35 712 000;32 918 000;;;70 430 000;89 287 000;78 152 000;;;
18;1096952023937;17.11.2009;15;01.04.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;40;25;;;;Прекратило деятельность при присоединении (01.04.2022).;"""Реестр операторов, осуществляющих обработку персональных данных""";415 675 000;605 158 000;;;;103 052 000;98 634 000;;;;104 444 000;75 058 000;;;;395 867 000;567 090 000;;;;
19;1151677000155;04.02.2015;10;10.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;38;40;15;1;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (10.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";25 375 000;69 301 000;9 603 000;980 000;0;6 604 000;34 333 000;16 474 000;15 260 000;1 048 000;3 813 000;4 960 000;6 761 000;6 056 000;1 027 000;25 375 000;69 301 000;9 109 000;970 000;;-9 183 000
20;1156320001584;29.01.2015;10;13.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;45;25;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (13.03.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";23 863 000;17 549 000;;;;15 336 000;9 590 000;;;;13 130 000;4 430 000;;;;22 577 000;13 437 000;;;;
21;1102643000129;02.06.2010;15;22.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;18;18;10;;Ликвидировано (22.01.2025).;;31 311 000;24 426 000;11 859 000;7 595 000;;2 002 000;1 462 000;741 000;628 000;;2 364 000;1 817 000;1 095 000;1 181 000;;31 311 000;23 791 000;11 832 000;7 562 000;;
22;1186196017776;24.04.2018;7;24.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;54;50;50;51;8;Ликвидировано (24.06.2025).;;741 460 000;1 174 018 000;1 507 267 000;1 975 079 000;225 607 000;85 105 000;92 330 000;225 107 000;353 214 000;19 000;77 808 000;75 221 000;212 170 000;277 371 000;;737 223 000;1 167 419 000;1 504 499 000;1 901 255 000;224 139 000;-40 936 000
23;1206400012610;29.07.2020;5;06.08.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;31;28;23;;Ликвидировано (06.08.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";10 889 000;47 385 000;58 920 000;72 339 000;;30 592 000;23 697 000;36 339 000;9 474 000;;30 311 000;22 615 000;25 023 000;6 706 000;;2 570 000;44 941 000;58 920 000;61 123 000;;
24;1217400011685;31.03.2021;4;23.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;34;52;15;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (23.06.2025).;;;19 827 000;22 381 000;;;;31 771 000;54 120 000;;;;31 657 000;59 520 000;;;;19 827 000;22 381 000;;;
25;1181690058901;18.07.2018;7;28.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;30;27;24;20;19;Прекратило деятельность при присоединении (28.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";140 470 000;162 234 000;113 040 000;81 284 000;96 460 000;37 550 000;53 430 000;69 547 000;82 794 000;;18 696 000;13 046 000;7 539 000;7 103 000;;136 368 000;156 952 000;111 981 000;80 684 000;;
26;1160280123981;01.11.2016;8;28.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;33;36;25;19;16;Прекратило деятельность при присоединении (28.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";141 758 000;173 785 000;125 841 000;101 926 000;147 806 000;29 560 000;16 016 000;23 803 000;51 855 000;;69 851 000;27 269 000;5 916 000;11 046 000;;138 994 000;166 147 000;123 176 000;98 658 000;;
27;1181690055799;05.07.2018;7;28.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;19;14;9;9;Прекратило деятельность при присоединении (28.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";81 464 000;84 735 000;61 259 000;36 571 000;43 790 000;13 110 000;21 368 000;33 670 000;42 833 000;;16 640 000;6 294 000;2 251 000;3 625 000;;80 753 000;82 372 000;60 815 000;36 297 000;;
28;1187232026871;01.11.2018;6;18.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;9;30;48;51;33;Прекратило деятельность при присоединении (18.03.2025).;;7 900 000;151 925;169 517 000;160 339 000;102 223 000;1 717 000;29 175 000;55 288 000;62 708 000;52 427 000;12 132 000;4 917 000;7 101 000;10 097 000;1 090 000;7 900 000;151 563 000;168 954 000;160 286 000;101 902 000;-1 275 000
29;1177232037619;27.12.2017;7;13.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;35;31;18;1;;Прекратило деятельность при присоединении (13.05.2025).;;122 445 000;157 399;146 753 000;523 000;134 000;36 508 000;38 090 000;55 580 000;54 382 000;53 100 000;23 585 000;5 986 000;471 000;124 000;;121 964 000;153 349 000;142 206 000;-21 000;;-1 158 000
30;1161690161500;20.10.2016;8;22.01.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;158;247;255;175;;Прекратило деятельность при присоединении (22.01.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";566 806 000;1 069 174 000;1 169 500 000;;;322 563 000;492 670 000;318 250 000;;;301 712 000;451 192 000;225 762 000;;;553 542 000;967 057 000;1 108 526 000;;;
31;1146324041313;24.12.2014;10;15.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;17;5;;;Ликвидировано (15.03.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";19 502 000;25 348 000;;;;11 319 000;15 473 000;;;;9 433 000;14 774 000;;;;17 380 000;25 077 000;;;;
32;1111673002308;25.08.2011;14;05.08.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;23;;;;Ликвидировано (05.08.2022).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";42 859 000;76 576 000;;;;4 153 000;6 562 000;;;;3 241 000;4 073 000;;;;42 859 000;75 959 000;;;;
33;1126453005029;05.09.2012;13;30.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;33;30;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (30.06.2023).;;11 111 000;6 519 000;;;;3 945 000;2 673 000;;;;2 233 000;2 423 000;;;;11 111 000;6 519 000;;;;
34;1090280030664;30.09.2009;16;23.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;185;184;76;;;Ликвидировано (23.05.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";1 110 235 000;1 165 416 000;570 122 000;;;59 854 000;60 057 000;10 700 000;;;55 417 000;56 971 000;8 012 000;;;1 101 048 000;1 160 167 000;531 543 000;;;
35;1105805000663;02.06.2010;15;01.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;162;23;;;;Ликвидировано вследствие банкротства (01.12.2023).;;1 075 569 000;450 268 000;919 893 000;;;514 299 000;190 378 000;37 549 000;;;4 027 754 000;3 616 763 000;3 035 587 000;;;1 013 634 000;215 971 000;5 720 000;;;
36;1116171000043;15.02.2011;14;22.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;13;19;21;22;22;Прекратило деятельность при присоединении (22.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр перевозчиков зерна"", ""Участник Хартии АПК""";542 995 000;132 067 000;573 413 000;702 949 000;;475 814 000;774 901 000;934 917 000;1 538 330 000;;15 923 000;272 724 000;202 518 000;621 427 000;;508 728 000;127 915 000;562 663 000;683 071 000;;
37;1190280026310;15.04.2019;6;27.07.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;17;14;;;Ликвидировано (27.07.2023).;"""Реестр перевозчиков зерна""";143 637 000;134 283 000;188 185 000;;;61 346 000;70 742 000;176 734 000;;;50 127 000;64 837 000;95 040 000;;;143 415 000;133 486 000;186 281 000;;;
38;1186820009452;18.10.2018;6;04.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;30;23;25;6;;Ликвидировано вследствие банкротства (04.02.2025).;;102 513 000;151 121 000;126 499 000;27 128 000;;176 595 000;218 236 000;195 695 000;125 567 000;;97 586 000;100 685 000;54 297 000;47 726 000;;97 225 000;145 130 000;122 412 000;26 520 000;;
39;1159102089960;24.04.2015;10;03.10.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;53;53;30;12;;Ликвидировано вследствие банкротства (03.10.2024).;"""Участник Хартии АПК""";86 359 000;174 611 000;120 997 000;;;227 479 000;249 989 000;216 697 000;;;268 204 000;315 123 000;324 498 000;;;76 231 000;166 040 000;114 986 000;;;
40;1106186000271;10.03.2010;15;31.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;28;16;1;;;Ликвидировано (31.03.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";61 279 000;25 650 000;82 000;;;13 192 000;140 000;;;;3 268 000;26 000;;;;60 497 000;21 255 000;;;;
41;1151690070322;02.09.2015;10;26.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;33;32;4;1;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (26.09.2025).;;45 342 000;56 722 000;60 431 000;8 208 000;0;5 522 000;5 032 000;6 514 000;2 794 000;279 000;6 913 000;4 559 000;5 613 000;2 502 000;307 000;44 838 000;55 430 000;59 913 000;7 205 000;;-960 000
42;1110260000608;18.05.2011;14;17.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;44;19;3;;;Прекратило деятельность при присоединении (17.05.2023).;;41 094 000;128 571 000;251 593 000;;;128 151 000;262 605 000;202 405 000;;;13 600 000;135 183 000;65 108 000;;;35 011 000;19 480 000;1 180 000;;;
43;1172225047697;07.12.2017;7;21.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;12;12;34;36;9;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (21.07.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";;45 358 000;122 238 000;114 673 000;39 067 000;10 000;34 065 000;28 658 000;22 257 000;48 000;;29 973 000;34 305 000;21 326 000;333 000;;45 043 000;121 489 000;114 124 000;30 919 000;-1 216 000
44;1143443012591;13.05.2014;11;07.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;6;52;86;34;;Ликвидировано (07.12.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";64 727 000;404 342 000;624 738 000;;;50 111 000;79 274 000;62 839 000;;;49 189 000;77 045 000;50 453 000;;;64 725 000;402 789 000;624 063 000;;;
45;1145920000478;27.02.2014;11;19.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;23;17;3;1;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (19.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";45 011 000;34 735 000;45 945 000;2 006 000;;16 214 000;19 433 000;28 090 000;5 535 000;;14 103 000;15 521 000;24 228 000;3 910 000;;44 980 000;34 047 000;35 777 000;-6 000;;
46;1141690002057;20.01.2014;11;17.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;760;928;866;;;Прекратило деятельность при присоединении (17.08.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";890 614 000;1 428 690 000;1 794 663 000;;;150 150 000;189 114 000;1 419 815 000;;;232 274 000;298 887 000;1 567 617 000;;;734 111 000;1 244 773 000;1 698 432 000;;;
47;1091101001540;26.02.2009;16;04.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;18;7;;;Ликвидировано (04.12.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";64 698 000;120 607 000;17 398 000;;;19 812 000;20 198 000;7 505 000;;;6 003 000;9 734 000;6 446 000;;;63 556 000;108 086 000;16 760 000;;;
48;1106604000161;04.02.2010;15;07.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;30;28;26;25;22;Прекратило деятельность при присоединении (07.02.2025).;;23 338 000;25 532 000;26 077 000;27 347 000;25 225 000;12 909 000;12 700 000;15 436 000;13 173 000;8 661 000;11 401 000;11 138 000;14 147 000;11 684 000;9 850 000;23 305 000;25 488 000;26 074 000;25 921 000;24 572 000;-2 678 000
49;1161690154614;03.10.2016;9;06.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;52;50;;;;Ликвидировано (06.05.2022).;;66 811 000;77 655 000;;;;25 098 000;26 187 000;;;;1 003 000;3 271 000;;;;61 044 000;76 173 000;;;;
50;1146320002773;18.02.2014;11;16.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;5;37;41;45;35;Прекратило деятельность при слиянии (16.10.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр субъектов малого и среднего предпринимательства (Дата включения 01.08.2016, Категория: Малое предприятие)""";11 239 000;138 786 000;152 775 000;177 317 000;158 961 000;27 495 000;71 036 000;154 455 000;168 866 000;101 887 000;28 733 000;66 522 000;137 850 000;137 258 000;57 051 000;11 239 000;138 760 000;152 772 000;177 316 000;158 944 000;13 228 000
51;1157232017293;30.04.2015;10;14.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;16;16;;;Ликвидировано (14.08.2023).;;76 913 000;97 920 000;113 459 000;;;31 690 000;36 574 000;73 926 000;;;29 029 000;30 295 000;64 128 000;;;73 518 000;92 128 000;110 843 000;;;
52;1192724009906;06.05.2019;6;27.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;41;46;49;16;;Ликвидировано вследствие банкротства (27.02.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";2 033 916 000;2 635 807 000;2 985 211 000;1 278 906 000;;276 249 000;390 549 000;447 333 000;274 784 000;;228 149 000;294 822 000;274 217 000;83 106 000;;2 033 584 000;2 635 728 000;2 982 335 000;1 277 967 000;;
53;1156658045840;22.07.2015;10;09.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;25;23;23;;;Исключение из ЕГРЮЛ недействующего юридического лица (09.01.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";129 594 000;137 301 000;83 398 000;;;3 469 000;4 932 000;1 589 000;;;1 587 000;2 554 000;1 265 000;;;129 594 000;137 301 000;83 398 000;;;
54;1126330000257;31.01.2012;13;30.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;17;2;;;Ликвидировано (30.08.2023).;;241 100 000;399 826 000;35 310 000;;;99 215 000;127 505 000;39 122 000;;;80 399 000;102 344 000;13 344 000;;;238 099 000;395 329 000;33 673 000;;;
55;1121673003100;14.11.2012;12;18.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;11;12;15;14;15;Прекратило деятельность при присоединении (18.04.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";32 214 000;42 480 000;34 422 000;36 629 000;43 296 000;7 422 000;11 660 000;15 031 000;9 973 000;4 245 000;6 856 000;7 225 000;9 405 000;3 496 000;3 845 000;31 382 000;37 618 000;33 900 000;35 950 000;42 812 000;623 000
56;1217700614834;15.12.2021;3;06.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;;45;63;47;Прекратило деятельность при присоединении (06.05.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";;;279 352 000;320 209 000;316 511 000;;;667 476 000;540 701 000;199 427 000;;;762 250 000;751 986 000;473 414 000;;;248 892 000;300 677 000;276 982 000;-62 121 000
57;1160280078860;21.04.2016;9;15.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;19;18;13;10;Ликвидировано (15.08.2025).;;72 875 000;66 101 000;63 940 000;53 748 000;46 325 000;4 503 000;7 894 000;7 959 000;8 973 000;8 411 000;247 000;3 540 000;3 498 000;4 413 000;7 534 000;72 395 000;65 621 000;63 453 000;53 268 000;45 892 000;-3 683 000
58;1197325013005;02.08.2019;6;11.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;12;22;23;11;;Ликвидировано (11.09.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";14 062 000;25 127 000;25 721 000;13 295 000;;4 098 000;3 622 000;4 155 000;1 797 000;;1 406 000;1 395 000;1 205 000;375 000;;14 029 000;25 117 000;25 721 000;13 292 000;;
59;1157154020176;24.07.2015;10;04.08.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;61;81;;;;Прекратило деятельность при присоединении (04.08.2022).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";312 678 000;346 396 000;;;;61 012 000;71 637 000;;;;41 160 000;52 734 000;;;;169 451 000;259 971 000;;;;
60;1179102025960;19.10.2017;7;22.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;681;565;;;;Исключение из ЕГРЮЛ недействующего юридического лица (22.12.2023).;;296 821 000;315 653 000;;;;123 539 000;18 144 000;;;;120 379 000;13 068 000;;;;296 675 000;314 804 000;;;;
61;1095904015096;21.10.2009;15;08.08.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;154;46;16;8;;Ликвидировано вследствие банкротства (08.08.2024).;;136 159 000;446 110 000;20 601 000;585 186 000;;1 129 545 000;968 725 000;578 353 000;123 848 000;;588 543 000;581 982 000;583 893 000;130 525 000;;125 251 000;29 019 000;823 000;17 447 000;;
62;1167627098451;09.11.2016;8;28.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;40;38;33;21;11;Прекратило деятельность при присоединении (28.11.2024).;;260 913 000;272 016 000;378 854 000;321 304 000;;119 827 000;67 122 000;251 649 000;240 710 000;;113 051 000;53 390 000;231 636 000;226 586 000;;260 857 000;271 659 000;378 654 000;320 927 000;;
63;1111677000390;25.03.2011;14;17.08.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;20;17;;;;Ликвидировано (17.08.2022).;;29 371 000;;;;;18 407 000;20 257 000;10 000;;;2 000 000;2 050 000;;;;27 701 000;30 122 000;;;;
64;1136171000613;08.07.2013;12;10.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;55;53;48;;;Ликвидировано (10.03.2023).;;116 652 000;85 750 000;45 493 000;;;8 528 000;10 659 000;389 000;;;1 350 000;3 481 000;389 000;;;116 385 000;85 744 000;45 460 000;;;
