№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
1 340;1197746006413;12.01.2019;6;01.08.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;23;27;13;;;Ликвидировано (01.08.2023).;"""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";182 838 000;242 656 000;135 397 000;;;56 526 000;100 490 000;115 961 000;;;8 585 000;6 544 000;584 000;;;182 720 000;242 085 000;104 136 000;;;
1 341;1196658031558;24.04.2019;6;02.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;32;15;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (02.05.2024).;;288 021 000;136 950 000;;;;173 616 000;306 317 000;;;;174 992 000;308 547 000;;;;287 838 000;82 737 000;;;;
1 342;1204800004342;25.03.2020;5;15.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;41;77;21;;Прекратило деятельность при присоединении (15.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";10 864 000;2 376 303 000;2 925 862 000;585 050 000;173 000;4 743 000;436 660 000;436 423 000;140 443 000;;4 416 000;434 401 000;402 271 000;164 561 000;;10 864 000;2 371 504 000;2 906 203 000;567 139 000;;
1 343;1217800167518;27.10.2021;3;05.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;1;18;50;;Ликвидировано (05.04.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";;;72 001 000;191 564 000;;;;13 302 000;11 128 000;;;;12 993 000;10 587 000;;;;71 997 000;191 454 000;;
1 344;1177154015136;26.06.2017;8;20.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;39;22;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (20.10.2023).;;198 093 000;51 530 000;;;;24 240 000;388 000;;;;22 251 000;378 000;;;;198 014 000;51 294 000;;;;
1 345;1197746733183;17.12.2019;5;24.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;80;66;1;1;1;Ликвидировано (24.04.2025).;;2 030 680 000;1 965 271 000;;;;389 141 000;468 436 000;438 795 000;438 824 000;9 104 000;387 826 000;465 391 000;435 749 000;435 778 000;6 058 000;2 024 809 000;1 958 306 000;;;;
1 346;1157746817535;04.09.2015;10;25.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;21;21;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (25.04.2024).;;47 862 000;688 152 000;;;;9 334 000;67 815 000;;;;8 991 000;67 351 000;;;;47 862 000;688 152 000;;;;
1 347;1161690064513;10.02.2016;9;26.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;20;;;;Прекратило деятельность при присоединении (26.05.2022).;;18 043 000;20 695 000;;;;35 294 000;29 138 000;;;;30 722 000;26 297 000;;;;17 679 000;20 643 000;;;;
1 348;1157746608337;07.07.2015;10;21.02.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;260;421;402;;;Ликвидировано (21.02.2023).;"""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий""";1 543 912 000;2 317 106 000;;;;95 366 000;177 542 000;;;;89 526 000;109 897 000;;;;823 440 000;1 367 363 000;;;;
1 349;1207700197539;17.06.2020;5;25.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;23;31;7;;Ликвидировано (25.04.2025).;;443 000;423 427 000;1 447 967 000;1 028 726 000;;586 000;309 877 000;922 194 000;348 372 000;;407 000;309 158 000;921 074 000;346 164 000;;443 000;423 427 000;1 447 967 000;1 028 715 000;;
1 350;1217700295746;23.06.2021;4;01.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;;39;57;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных подпунктом «г» пункта 5 статьи 21.1 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (01.04.2025).;;;;123 629 000;;;;18 157 000;380 154 000;;;;9 601 000;380 144 000;;;;;123 629 000;;;
1 351;5177746231559;20.11.2017;7;24.02.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;96;45;;;;Ликвидировано (24.02.2022).;;108 193 000;68 166 000;;;;17 710 000;8 958 000;;;;7 810 000;;;;;108 193 000;68 048 000;;;;
1 352;1177847337910;17.10.2017;8;04.08.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;35;41;;;;Ликвидировано (04.08.2022).;;185 022 000;398 322 000;;;;29 530 000;68 109 000;;;;22 760 000;56 102 000;;;;185 022 000;398 315 000;;;;
1 353;1212300060521;20.10.2021;3;07.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;1;65;42;28;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (07.02.2025).;;;;60 510 000;57 500 000;;;;6 532 000;10 557 000;;;;2 508 000;2 508 000;;;;60 510 000;57 500 000;;
1 354;1184704009951;12.07.2018;7;27.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;1;9;22;16;Ликвидировано (27.01.2025).;;;2 989 000;108 065 000;157 746 000;;19 000;1 261 000;37 991 000;53 056 000;;214 000;1 246 000;35 050 000;44 081 000;;;2 989 000;108 065 000;154 761 000;;
1 355;1167746399810;21.04.2016;9;27.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;30;44;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (27.10.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";4 414 000;11 762 000;;;;505 000;599 000;;;;179 000;220 000;;;;4 414 000;11 762 000;;;;
1 356;1207800127655;05.10.2020;5;26.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;3;50;39;;;Ликвидировано (26.12.2023).;;20 700 000;158 949 000;77 971 000;;;89 741 000;80 830 000;55 533 000;;;83 141 000;45 822 000;55 219 000;;;20 658 000;158 747 000;64 577 000;;;
1 357;1137847318531;22.08.2013;12;23.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;22;35;19;9;9;Ликвидировано (23.06.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";71 545 000;153 695 000;79 357 000;28 552 000;13 615 000;40 171 000;48 942 000;17 733 000;18 904 000;264 000;21 761 000;19 802 000;6 380 000;10 602 000;;70 598 000;148 474 000;77 739 000;27 632 000;10 184 000;-8 110 000
1 358;1177746343631;05.04.2017;8;11.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;2;29;27;;;Ликвидировано (11.10.2023).;;11 323 000;130 858 000;93 071 000;;;41 462 000;69 778 000;43 693 000;;;47 236 000;73 818 000;43 662 000;;;11 313 000;130 733 000;58 977 000;;;
1 359;1098903000118;27.02.2009;16;30.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;28;28;27;26;5;Ликвидировано (30.05.2025).;;75 003 000;99 185 000;114 963 000;148 646 000;24 631 000;19 366 000;46 233 000;60 359 000;84 389 000;5 412 000;9 828 000;11 421 000;15 018 000;17 221 000;77 000;74 724 000;98 745 000;114 838 000;148 548 000;24 439 000;215 000
1 360;1215000115373;15.11.2021;3;20.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;1;20;21;15;Прекратило деятельность при присоединении (20.06.2025).;;;0;54 068 000;133 956 000;88 804 000;;13 000;25 808 000;55 901 000;46 678 000;;552 000;10 383 000;18 118 000;177 000;;;54 068 000;133 956 000;88 804 000;8 719 000
1 361;1217800026432;20.02.2021;4;09.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;18;51;28;;Ликвидировано (09.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";;42 168 000;123 585 000;89 108 000;;;7 841 000;17 266 000;8 893 000;;;4 464 000;8 411 000;2 000;;;42 168 000;123 579 000;89 105 000;;
1 362;1216600028391;11.05.2021;4;28.10.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;4;48;52;26;Ликвидировано (28.10.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";;31 462 000;160 380 000;79 019 000;;;16 094 000;28 745 000;44 911 000;;;9 557 000;16 217 000;32 383 000;;;31 224 000;160 380 000;79 019 000;;
1 363;1157746232500;18.03.2015;10;27.10.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;16;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (27.10.2023).;;7 119 000;7 073 000;;;;1 002 000;1 068 000;;;;403 000;278 000;;;;7 119 000;7 073 000;;;;
1 364;1207700029866;29.01.2020;5;12.07.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;46;68;35;;;Ликвидировано (12.07.2023).;;153 749 000;304 888 000;480 251 000;;;21 905 000;26 900 000;67 081 000;;;20 879 000;12 670 000;1 710 000;;;89 670 000;194 731 000;318 743 000;;;
1 365;1167847302039;22.07.2016;9;17.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;83;79;59;28;;Ликвидировано (17.03.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";101 062 000;68 028 000;60 580 000;31 484 000;29 685 000;1 959 000;1 210 000;2 630 000;175 000;91 000;58 980 000;53 096 000;40 920 000;29 668 000;11 000;50 299 000;62 854 000;49 329 000;22 331 000;;29 573 000
1 366;1207700350791;23.09.2020;5;12.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;15;33;8;;Ликвидировано (12.03.2024).;;69 651 000;142 109 000;123 707 000;;;64 132 000;79 725 000;25 515 000;;;22 716 000;14 105 000;67 063 000;;;69 651 000;140 462 000;123 474 000;;;
