№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
1;1205000074839;27.08.2020;5;12.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;14;61;55;16;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (12.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";22 672 000;122 025 000;167 041 000;59 783 000;;5 759 000;23 253 000;3 126 000;378 000;;10 974 000;23 601 000;1 583 000;353 000;;21 957 000;104 234 000;143 417 000;59 783 000;;
2;1145476149323;28.11.2014;10;16.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;10;18;30;34;15;Прекратило деятельность при присоединении (16.01.2025).;;88 447 000;135 050 000;180 993 000;203 614 000;;48 961 000;87 508 000;99 831 000;170 096 000;;47 837 000;84 737 000;96 309 000;165 133 000;;87 645 000;134 844 000;180 014 000;201 131 000;;
3;1123926064250;02.10.2012;13;18.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;14;20;33;;;Прекратило деятельность при присоединении (18.05.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных организаций, осуществляющих деятельность в области информационных технологий"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";57 409 000;93 755 000;116 163 000;;;135 744 000;42 737 000;84 889 000;;;126 486 000;24 666 000;31 070 000;;;55 967 000;93 446 000;115 833 000;;;
4;1164205062130;04.05.2016;9;29.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;18;8;;;Ликвидировано вследствие банкротства (29.12.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";37 649 000;47 747 000;11 991 000;;;9 940 000;16 726 000;;;;17 767 000;34 195 000;6 343 000;;;37 649 000;45 666 000;11 991 000;;;
5;1187847149522;29.05.2018;7;25.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;9;23;25;9;26;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (25.03.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";53 986 000;133 351 000;215 609 000;247 377 000;256 912 000;11 237 000;29 324 000;37 487 000;78 267 000;1 368 000;2 995 000;10 319 000;4 746 000;59 713 000;;53 681 000;131 094 000;194 281 000;238 331 000;247 288 000;5 633 000
6;1095017001782;20.05.2009;16;08.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;28;29;21;18;Прекратило деятельность при присоединении (08.10.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство"", ""Реестр субъектов малого и среднего предпринимательства (Дата включения 01.08.2016, Категория: Малое предприятие)""";95 433 000;109 167 000;97 060 000;89 169 000;109 931 000;60 294 000;66 711 000;62 562 000;58 449 000;58 673 000;5 611 000;5 105 000;5 683 000;4 037 000;1 578 000;86 027 000;103 732 000;84 642 000;83 133 000;109 590 000;2 683 000
7;1182801003010;05.04.2018;7;20.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;21;12;19;10;Ликвидировано (20.12.2024).;;110 872 000;112 810 000;94 346 000;208 377 000;;8 922 000;14 232 000;14 691 000;18 656 000;;16 365 000;22 121 000;21 747 000;34 072 000;;110 603 000;112 810 000;94 346 000;208 377 000;;
8;1105074009248;29.09.2010;15;04.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;21;39;17;;Ликвидировано (04.09.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";14 868 000;84 258 000;183 887 000;97 888 000;;12 777 000;46 717 000;73 732 000;40 395 000;;47 000;1 504 000;3 769 000;10 000;;4 637 000;83 665 000;179 525 000;94 108 000;;
9;1203600005003;17.02.2020;5;06.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;3;6;26;29;;Прекратило деятельность при присоединении (06.06.2024).;;8 415 000;41 795 000;486 716 000;531 611 000;;7 909 000;19 725 000;65 459 000;65 678 000;;7 812 000;18 008 000;57 719 000;54 911 000;;8 415 000;41 795 000;486 716 000;521 393 000;;
10;1103019000050;01.02.2010;15;15.04.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;26;19;17;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (15.04.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";9 121 000;9 004 000;7 196 000;6 938 000;;662 000;721 000;217 000;250 000;;67 000;107 000;39 000;;;9 121 000;9 004 000;7 188 000;6 930 000;;
11;1129847033491;27.12.2012;12;27.10.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;34;35;;;;Ликвидировано (27.10.2022).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";1 448 201 000;1 174 698 000;;;;189 970 000;158 759 000;;;;186 576 000;150 693 000;;;;1 443 322 000;1 162 990 000;;;;
12;1092468006290;20.02.2009;16;24.03.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;138;109;2;;;Ликвидировано (24.03.2023).;;1 153 797 000;792 271 000;24 391 000;;;511 611 000;283 889 000;94 000;;;337 631 000;119 512 000;;;;1 056 318 000;724 565 000;7 678 000;;;
13;1135049000437;01.11.2013;11;26.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;419;470;461;;;Прекратило деятельность при присоединении (26.05.2023).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";466 709 000;622 693 000;624 069 000;;;91 344 000;220 514 000;142 875 000;;;84 123 000;182 053 000;98 151 000;;;466 511 000;592 603 000;615 836 000;;;
14;1197746284427;24.04.2019;6;28.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;39;44;28;63;;Ликвидировано (28.06.2024).;;194 418 000;384 473 000;810 800 000;1 225 665 000;;168 833 000;267 279 000;565 666 000;72 839 000;;174 304 000;273 215 000;559 011 000;68 038 000;;184 381 000;384 358 000;777 630 000;1 225 532 000;;
15;1123668039681;09.08.2012;13;06.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;24;45;49;;Ликвидировано (06.11.2024).;"""Получатели поддержки правительства Москвы"", ""Реестр операторов, осуществляющих обработку персональных данных""";13 882 000;34 371 000;111 412 000;74 759 000;;10 787 000;11 147 000;59 133 000;17 088 000;;1 723 000;1 788 000;4 735 000;13 113 000;;13 850 000;34 371 000;111 383 000;74 759 000;;
16;1126376000409;12.04.2012;13;31.10.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;208;89;12;;;Прекратило деятельность при присоединении (31.10.2022).;"""Реестр операторов, осуществляющих обработку персональных данных""";1 718 435 000;1 323 245 000;;;;812 622 000;738 838 000;;;;593 435 000;487 148 000;;;;1 486 419 000;1 129 743 000;;;;
17;5137746202303;16.12.2013;11;09.12.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;16;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (09.12.2022).;;12 322 000;57 242 000;;;;68 787 000;6 550 000;;;;6 645 000;347 000;;;;12 282 000;53 192 000;;;;
18;1145050004660;15.09.2014;11;28.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;3;27;47;18;;Прекратило деятельность при присоединении (28.06.2024).;;2 477 000;35 516 000;64 011 000;52 968 000;;5 123 000;24 873 000;30 768 000;12 514 000;;4 664 000;49 027 000;74 338 000;86 493 000;;2 343 000;35 198 000;63 652 000;52 700 000;;
19;1102801007650;21.06.2010;15;07.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;58;35;20;1;;Ликвидировано (07.05.2024).;;172 924 000;178 996 000;77 569 000;862 000;0;20 643 000;26 164 000;7 419 000;4 555 000;;18 908 000;21 010 000;1 621 000;9 000;;170 438 000;177 615 000;74 852 000;771 000;;
20;1137847497600;23.12.2013;11;18.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;20;13;6;;Ликвидировано (18.09.2024).;;666 734 000;893 003 000;741 541 000;678 304 000;;424 151 000;364 127 000;353 898 000;250 745 000;;247 749 000;183 769 000;171 417 000;63 439 000;;601 003 000;880 460 000;740 113 000;677 603 000;;
21;1197847198471;30.09.2019;6;11.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;16;17;20;;Ликвидировано (11.07.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";49 105 000;74 989 000;89 618 000;106 329 000;;8 660 000;14 731 000;25 497 000;19 887 000;;7 550 000;6 652 000;8 263 000;7 869 000;;48 320 000;74 887 000;89 515 000;106 255 000;;
22;1163850081856;02.08.2016;9;02.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;88;81;66;;;Прекратило деятельность при присоединении (02.05.2023).;;500 276 000;491 417 000;507 994 000;;;147 236 000;154 290 000;145 501 000;;;122 386 000;123 448 000;104 008 000;;;498 211 000;489 041 000;503 430 000;;;
23;1122468004790;30.01.2012;13;10.04.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;65;61;54;;;Ликвидировано (10.04.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";33 827 000;34 615 000;35 715 000;;;7 985 000;10 354 000;9 776 000;;;1 884 000;5 359 000;3 606 000;;;33 817 000;34 574 000;35 706 000;;;
24;1182901020444;29.12.2018;6;13.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;22;19;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (13.05.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";16 091 000;29 620 000;25 981 000;;;20 269 000;13 433 000;13 343 000;;;29 473 000;34 038 000;41 312 000;;;15 893 000;29 572 000;25 978 000;;;
25;1092411000769;05.08.2009;16;06.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;46;19;;;;Ликвидировано (06.05.2022).;"""Реестр операторов, осуществляющих обработку персональных данных""";70 883 000;36 571 000;;;;16 015 000;11 439 000;;;;8 995 000;2 022 000;;;;60 126 000;31 456 000;;;;
26;1157847271702;07.08.2015;10;14.09.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;64;67;;;;Ликвидировано (14.09.2022).;;476 917 000;658 487 000;;;;161 262 000;250 669 000;;;;91 454 000;53 308 000;;;;476 411 000;657 159 000;;;;
27;1174027016855;04.12.2017;7;12.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;24;29;25;21;4;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (12.09.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";37 107 000;62 259 000;61 039 000;70 479 000;13 300 000;13 222 000;12 101 000;37 840 000;34 057 000;15 384 000;20 927 000;24 393 000;36 800 000;38 313 000;32 238 000;35 249 000;59 811 000;61 039 000;70 457 000;13 288 000;-12 548 000
28;1132225006616;10.04.2013;12;16.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;19;20;29;18;Прекратило деятельность при присоединении (16.12.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";140 305 000;153 034 000;168 227 000;241 841 000;;21 927 000;27 171 000;30 815 000;33 173 000;;6 338 000;9 229 000;17 267 000;26 655 000;;138 328 000;150 659 000;165 322 000;236 116 000;;
29;1112468078282;23.12.2011;13;28.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;21;20;11;22;Прекратило деятельность при присоединении (28.12.2024).;;134 759 000;175 740 000;123 749 000;79 661 000;;23 057 000;35 953 000;29 841 000;22 682 000;;19 631 000;31 777 000;24 767 000;17 098 000;;133 794 000;174 765 000;122 828 000;79 160 000;;
30;1207800146047;06.11.2020;4;28.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;1;48;56;13;;Ликвидировано (28.05.2024).;;;133 303 000;256 915 000;270 079 000;;10 000;96 130 000;326 229 000;462 652 000;;;90 619 000;313 723 000;438 477 000;;;133 111 000;256 915 000;252 464 000;;
31;1093459002130;17.04.2009;16;27.06.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;23;22;19;;Прекратило деятельность при присоединении (27.06.2024).;;147 617 000;79 218 000;90 260 000;62 030 000;;81 277 000;98 504 000;214 558 000;206 507 000;;56 354 000;91 264 000;209 118 000;218 898 000;;121 522 000;74 857 000;83 316 000;56 335 000;;
32;1197847105455;29.04.2019;6;31.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;19;12;7;5;Ликвидировано (31.07.2025).;;230 922 000;229 657 000;303 876 000;327 718 000;;261 257 000;2 658 522 000;837 174 000;2 026 991 000;;233 524 000;2 616 487 000;731 947 000;1 652 028 000;;177 062 000;138 656 000;216 487 000;101 106 000;;
33;1137847086321;27.02.2013;12;03.06.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;46;33;;;;Ликвидировано (03.06.2022).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";1 185 543 000;764 092 000;;;;93 763 000;80 029 000;;;;76 429 000;64 210 000;;;;944 304 000;721 954 000;;;;
34;1173443010620;27.04.2017;8;12.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;44;59;61;80;75;Прекратило деятельность при присоединении (12.09.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";764 344 000;1 184 616 000;1 086 718 000;1 470 707 000;2 333 444 000;144 515 000;443 551 000;463 035 000;401 637 000;407 674 000;202 985 000;430 266 000;409 505 000;366 978 000;415 721 000;752 283 000;1 165 860 000;1 078 503 000;1 432 874 000;2 273 106 000;-42 692 000
35;1212200018139;07.07.2021;4;04.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;3;48;45;33;Ликвидировано (04.09.2025).;;;5 541 000;167 218 000;156 559 000;135 740 000;;3 733 000;30 181 000;26 960 000;1 792 000;;10 178 000;10 527 000;15 247 000;1 782 000;;5 541 000;167 182 000;156 321 000;135 556 000;-11 703 000
36;1167746477557;19.05.2016;9;14.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;18;;6;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (14.08.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";19 478 000;21 896 000;;;;1 530 000;6 432 000;;;;1 520 000;6 422 000;;;;19 478 000;21 896 000;;;;
37;1153525044309;15.12.2015;9;23.11.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;42;35;32;26;;Прекратило деятельность при присоединении (23.11.2023).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";136 254 000;74 206 000;64 203 000;;;17 538 000;39 138 000;31 080 000;;;9 517 000;30 652 000;6 380 000;;;136 254 000;72 181 000;63 751 000;;;
38;1164205071216;02.08.2016;9;08.08.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;67;58;;;;Ликвидировано (08.08.2022).;;3 968 000;6 424 000;;;;577 000;100 000;;;;10 812 000;14 503 000;;;;3 968 000;6 031 000;;;;
39;1194632007613;08.07.2019;6;21.07.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;30;59;84;;;Исключение из ЕГРЮЛ недействующего юридического лица (21.07.2025).;;58 879 000;136 147 000;;0;;4 631 000;37 642 000;;;;1 982 000;34 976 000;;23 529 000;;58 879 000;131 313 000;;;;
40;1165476077348;15.03.2016;9;06.10.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;88;96;103;110;130;Прекратило деятельность при присоединении (06.10.2025).;"""Реестр субъектов малого и среднего предпринимательства (Дата включения 01.08.2016, Категория: Среднее предприятие)""";319 021 000;328 168 000;494 165 000;767 590 000;953 802 000;159 594 000;218 333 000;201 561 000;269 212 000;494 600 000;130 766 000;188 388 000;168 003 000;229 750 000;415 801 000;313 571 000;325 853 000;484 139 000;756 425 000;932 418 000;39 335 000
41;1097746518913;08.09.2009;16;17.10.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;37;34;33;2;;Ликвидировано (17.10.2024).;;501 039 000;586 897 000;417 610 000;73 784 000;;190 528 000;174 378 000;71 824 000;1 000;;165 432 000;148 318 000;42 364 000;15 519 000;;466 935 000;576 300 000;405 752 000;61 249 000;;
42;1174704001515;07.02.2017;8;03.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;23;38;90;106;Прекратило деятельность при присоединении (03.04.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";453 169 000;661 813 000;728 929 000;3 407 807 000;6 183 821 000;204 271 000;241 436 000;322 868 000;1 110 122 000;811 350 000;149 869 000;175 290 000;247 343 000;828 623 000;526 607 000;431 290 000;594 004 000;704 159 000;3 375 331 000;6 094 104 000;3 244 000
43;1144703002773;19.08.2014;11;14.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;5;9;30;71;;Прекратило деятельность при присоединении (14.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Микрофинансовые организации, исключенные из реестра""";18 795 000;182 767 000;135 541 000;;;97 824 000;211 473 000;716 485 000;;;97 858 000;131 898 000;626 150 000;;;18 768 000;171 780 000;75 106 000;;;
44;1124703003281;28.06.2012;13;14.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;7;31;21;1;;Прекратило деятельность при присоединении (14.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";166 330 000;219 383 000;149 574 000;;;233 873 000;208 885 000;233 120 000;;;219 218 000;141 770 000;155 955 000;;;164 566 000;212 480 000;146 795 000;;;
45;1124703000840;15.03.2012;13;14.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;37;34;19;;Прекратило деятельность при присоединении (14.02.2024).;;286 235 000;286 339;238 987;;;168 362 000;239 291 000;205 278 000;;;148 175 000;193 596 000;139 783 000;;;283 950 000;276 049 000;218 142 000;;;
46;1115256006953;20.06.2011;14;20.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;54;21;1;;;Ликвидировано (20.11.2024).;;151 558 000;121 181 000;1 201 000;105 000;;23 935 000;48 293 000;12 162 000;6 000;;13 791 000;9 124 000;10 499 000;6 000;;137 977 000;115 249 000;24 000;;;
47;1117606005527;16.12.2011;13;29.01.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;123;90;59;3;;Ликвидировано (29.01.2025).;;481 939 000;405 243 000;284 165 000;96 892 000;;263 302 000;196 612 000;146 340 000;75 057 000;;219 517 000;148 510 000;95 378 000;21 879 000;;477 347 000;401 703 000;281 478 000;93 393 000;;
48;1202300053977;02.10.2020;5;26.09.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;43;74;;;;Прекратило деятельность при присоединении (26.09.2022).;;55 847 000;2 892 982 000;;;;449 045 000;494 868 000;;;;453 529 000;477 434 000;;;;55 847 000;2 890 745 000;;;;
49;1132801008559;27.09.2013;12;04.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;21;16;12;4;;Ликвидировано (04.07.2024).;;21 990 000;25 997 000;30 747 000;7 052 000;;1 571 000;2 408 000;5 610 000;;;482 000;973 000;594 000;;;21 990 000;25 997 000;30 747 000;6 902 000;;
50;1157746253587;24.03.2015;10;15.06.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;45;41;;;;Прекратило деятельность при присоединении (15.06.2022).;"""Получатели поддержки правительства Москвы""";167 136 000;194 945 000;;;;1 571 308 000;1 744 473 000;;;;1 659 415 000;1 928 474 000;;;;166 131 000;192 449 000;;;;
51;1112453000307;01.06.2011;14;25.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;125;60;;1;1;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (25.04.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";109 519 000;78 076 000;483 000;820 000;371 000;42 715 000;16 578 000;16 371 000;468 000;144 000;42 317 000;1 378 000;977 000;218 000;;106 186 000;54 263 000;;;;-106 000
52;1147847351783;09.10.2014;11;27.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;33;54;25;;;Прекратило деятельность при присоединении (27.06.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";421 638 000;850 346 000;945 922 000;;;1 290 057 000;1 253 456 000;1 329 053 000;;;1 279 485 000;1 240 766 000;708 686 000;;;73 655 000;201 106 000;197 942 000;;;
53;1105003000233;27.01.2010;15;06.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;82;95;83;61;30;Прекратило деятельность при присоединении (06.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";1 631 833 000;2 745 778 000;1 151 419 000;873 244 000;;192 187 000;509 164 000;481 156 000;708 891 000;;93 950 000;256 315 000;130 986 000;299 156 000;;1 580 946 000;2 663 958 000;1 088 747 000;818 239 000;;
54;1164101057746;11.11.2016;8;05.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;17;17;;;Ликвидировано (05.06.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";9 367 000;10 118 000;9 030 000;;;1 461 000;2 275 000;798 000;;;734 000;52 000;133 000;;;9 367 000;10 118 000;7 819 000;;;
55;1105031001954;28.04.2010;15;21.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;42;16;9;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (21.12.2023).;;44 434 000;18 486 000;14 152 000;;;4 868 000;273 000;1 069 000;;;193 000;173 000;919 000;;;44 434 000;18 486 000;14 152 000;;;
56;1090280030664;30.09.2009;16;23.05.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;185;184;76;;;Ликвидировано (23.05.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";1 110 235 000;1 165 416 000;570 122 000;;;59 854 000;60 057 000;10 700 000;;;55 417 000;56 971 000;8 012 000;;;1 101 048 000;1 160 167 000;531 543 000;;;
57;1163025059449;01.11.2016;8;03.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;43;40;38;11;;Ликвидировано (03.07.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";73 194 000;59 592 000;46 830 000;29 021 000;150 000;42 457 000;27 266 000;23 880 000;4 605 000;;38 758 000;23 430 000;19 790 000;326 000;;64 972 000;57 321 000;43 909 000;26 827 000;;
58;1183525039411;04.12.2018;6;11.04.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;70;75;;;;Прекратило деятельность при присоединении (11.04.2022).;;131 901 000;166 357 000;;;;43 587 000;109 887 000;;;;12 017 000;47 187 000;;;;131 790 000;148 837 000;;;;
59;1095027005127;28.04.2009;16;16.07.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;52;41;14;8;;Прекратило деятельность при присоединении (16.07.2024).;;1 415 080 000;605 848 000;332 434 000;113 275 000;;331 310 000;243 986 000;179 717 000;94 257 000;;157 214 000;64 791 000;9 273 000;5 105 000;;1 315 555 000;566 690 000;305 086 000;98 255 000;;
60;1113620000042;25.01.2011;14;12.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;32;36;35;28;18;Прекратило деятельность при присоединении (12.11.2024).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр перевозчиков зерна"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";20 856 000;12 864 000;26 529 000;44 887 000;;29 988 000;10 950 000;14 427 000;15 461 000;;4 018 000;1 960 000;18 324 000;17 157 000;;14 196 000;7 173 000;24 703 000;42 703 000;;
61;1197847068737;22.03.2019;6;20.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;121;117;79;16;;Исключение юридического лица из ЕГРЮЛ в связи с наличием оснований, предусмотренных статьей 21.3 Федерального закона от 08.08.2001 № 129-ФЗ «О государственной регистрации юридических лиц и индивидуальных предпринимателей» (20.09.2024).;;162 946 000;224 756 000;168 388 000;180 445 000;;118 926 000;123 164 000;88 635 000;18 771 000;;197 466 000;233 989 000;248 037 000;77 341 000;;160 431 000;203 320 000;108 571 000;450 000;;
62;1143443012591;13.05.2014;11;07.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;6;52;86;34;;Ликвидировано (07.12.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";64 727 000;404 342 000;624 738 000;;;50 111 000;79 274 000;62 839 000;;;49 189 000;77 045 000;50 453 000;;;64 725 000;402 789 000;624 063 000;;;
63;1153025006199;21.10.2015;9;25.06.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;32;20;31;11;Ликвидировано (25.06.2025).;"""Реестр операторов, осуществляющих обработку персональных данных""";76 386 000;149 943 000;153 157 000;251 965 000;70 687 000;37 329 000;119 392 000;27 213 000;53 567 000;4 166 000;7 976 000;91 488 000;8 698 000;11 493 000;3 896 000;76 292 000;149 893 000;153 155 000;251 845 000;69 671 000;
64;1132372002377;15.05.2013;12;24.05.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;29;26;28;25;;Прекратило деятельность при присоединении (24.05.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";98 151 000;78 024 000;64 277 000;63 217 000;;41 689 000;54 757 000;58 447 000;44 407 000;;39 883 000;43 216 000;45 136 000;31 116 000;;97 545 000;72 510 000;63 878 000;62 121 000;;
65;1167847430728;08.11.2016;8;18.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;5;11;12;15;19;Ликвидировано (18.09.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Перечень лиц, на которых распространялось действие моратория на банкротство""";91 671 000;143 151 000;193 089 000;251 836 000;246 461 000;39 361 000;56 572 000;92 564 000;104 281 000;120 318 000;4 237 000;16 891 000;15 548 000;22 009 000;29 738 000;91 170 000;142 901 000;191 859 000;250 660 000;244 261 000;8 258 000
66;1217800087856;04.06.2021;4;11.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;15;75;73;42;Ликвидировано (11.03.2025).;;;36 913 000;293 386 000;308 776 000;261 067 000;;19 295 000;130 045 000;177 367 000;35 804 000;;13 354 000;83 760 000;102 889 000;3 410 000;;36 258 000;291 023 000;305 796 000;159 478 000;-7 085 000
