№;Регистрационный номер;Дата регистрации;Возраст компании, лет;Дата ликвидации;Организационно-правовая форма;Форма собственности;2020, Среднесписочная численность работников;2021, Среднесписочная численность работников;2022, Среднесписочная численность работников;2023, Среднесписочная численность работников;2024, Среднесписочная численность работников;Важная информация;Реестры СПАРКа;2020, Доходы, RUB;2021, Доходы, RUB;2022, Доходы, RUB;2023, Доходы, RUB;2024, Доходы, RUB;2020, Активы  всего, RUB;2021, Активы  всего, RUB;2022, Активы  всего, RUB;2023, Активы  всего, RUB;2024, Активы  всего, RUB;2020, Совокупный долг, RUB;2021, Совокупный долг, RUB;2022, Совокупный долг, RUB;2023, Совокупный долг, RUB;2024, Совокупный долг, RUB;2020, Выручка, RUB;2021, Выручка, RUB;2022, Выручка, RUB;2023, Выручка, RUB;2024, Выручка, RUB;2024, Чистая прибыль (убыток), RUB
755;1112311005069;04.07.2011;14;06.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;397;215;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (06.09.2024).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";1 137 591 000;756 271 000;;;;527 368 000;666 363 000;;;;518 377 000;657 283 000;;;;1 037 741 000;725 317 000;;;;
756;1205300001400;16.03.2020;5;07.04.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;5;29;54;60;38;Прекратило деятельность при присоединении (07.04.2025).;;10 056 000;64 129 000;295 942 000;94 759 000;132 623 000;194 265 000;458 270 000;521 728 000;497 032 000;411 961 000;177 500 000;449 688 000;537 322 000;681 149 000;745 233 000;2 440 000;38 420 000;37 377 000;27 746 000;45 533 000;-149 155 000
757;1179102027015;30.10.2017;7;28.12.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;40;40;32;32;;Ликвидировано (28.12.2023).;;810 593 000;1 135 874 000;959 564 000;;;250 657 000;184 132 000;221 256 000;;;147 757 000;32 316 000;68 847 000;;;810 376 000;1 133 724 000;959 506 000;;;
758;1137746589254;08.07.2013;12;29.03.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;38;24;11;;;Ликвидировано (29.03.2024).;;62 816 000;42 340 000;29 303 000;26 990 000;;35 075 000;34 255 000;26 783 000;9 372 000;;5 460 000;5 577 000;301 000;;;61 339 000;41 135 000;28 163 000;;;
759;1163702073358;22.08.2016;9;15.07.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;37;37;;;;Прекратило деятельность при присоединении (15.07.2022).;;56 123 000;59 289 000;;;;21 350 000;33 424 000;;;;4 532 000;2 927 000;;;;54 493 000;54 007 000;;;;
760;1127847096871;24.02.2012;13;23.06.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;19;23;;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (23.06.2022).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";7 474 000;2 744 000;;;;2 835 000;3 504 000;;;;662 000;1 405 000;;;;7 474 000;2 744 000;;;;
761;1107746502610;23.06.2010;15;07.02.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;177;117;27;3;;Ликвидировано (07.02.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";604 279 000;649 851 000;335 795 000;7 817 000;;454 531 000;480 720 000;124 258 000;74 523 000;;642 986 000;824 563 000;109 545 000;356 000;;568 138 000;631 396 000;192 124 000;;;
762;1212300027125;13.05.2021;4;21.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;12;25;25;20;Прекратило деятельность при присоединении (21.11.2024).;;;79 883 000;171 063 000;185 001 000;;;8 856 000;14 422 000;21 823 000;;;7 268 000;6 647 000;8 577 000;;;79 598 000;170 255 000;184 151 000;;
763;1195081025193;10.04.2019;6;27.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;40;15;;;;Ликвидировано (27.05.2022).;;616 542 000;358 095 000;;;;162 035 000;11 390 000;;;;153 465 000;275 000;;;;616 217 000;356 446 000;;;;
764;1163850070603;16.05.2016;9;19.05.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;438;345;;;;Ликвидировано (19.05.2022).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";1 455 960 000;2 351 816 000;;;;490 501 000;204 414 000;;;;448 974 000;162 712 000;;;;1 446 862 000;2 343 317 000;;;;
765;1107746209218;22.03.2010;15;30.06.2023;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;16;13;;;Прекратило деятельность при присоединении (30.06.2023).;"""Реестр операторов, осуществляющих обработку персональных данных""";743 573 000;1 145 244 000;650 858 000;;;240 317 000;288 888 000;64 543 000;;;116 197 000;106 077 000;56 038 000;;;697 412 000;1 073 657 000;623 950 000;;;
766;1177746410115;21.04.2017;8;08.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;15;15;4;1;1;Ликвидировано (08.08.2025).;"""Получатели поддержки правительства Москвы""";107 219 000;137 324 000;15 135 000;24 446 000;16 000;23 995 000;30 534 000;45 661 000;51 694 000;877 000;2 298 000;1 875 000;16 333 000;22 328 000;777 000;107 197 000;134 409 000;15 103 000;24 380 000;;-29 266 000
767;1207800042560;23.03.2020;5;07.05.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;29;66;49;31;1;Ликвидировано (07.05.2025).;;650 883 000;1 912 649 000;2 273 421 000;985 414 000;13 762 000;370 115 000;674 948 000;1 011 294 000;393 899 000;3 722 000;353 375 000;616 548 000;984 169 000;393 555 000;3 722 000;650 216 000;1 832 930 000;2 196 208 000;905 173 000;;-244 000
768;1187746442070;26.04.2018;7;25.12.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;37;67;61;36;;Ликвидировано (25.12.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";115 887 000;59 662 000;45 475 000;40 188 000;;7 210 000;5 813 000;5 751 000;5 131 000;;4 108 000;2 571 000;2 399 000;1 764 000;;115 887 000;59 662 000;45 475 000;40 188 000;;
769;1165275064778;21.11.2016;8;10.03.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;18;19;22;18;17;Прекратило деятельность при присоединении (10.03.2025).;;82 808 000;125 280 000;130 860 000;146 120 000;117 841 000;47 519 000;60 509 000;59 471 000;56 092 000;39 303 000;46 830 000;57 408 000;48 139 000;41 104 000;23 592 000;75 878 000;76 882 000;121 709 000;131 459 000;96 578 000;17 144 000
770;1173123039946;08.11.2017;7;28.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;26;24;3;;;Ликвидировано вследствие банкротства (28.02.2025).;;246 354 000;338 111 000;137 000;;;272 365 000;438 375 000;424 557 000;;;260 454 000;412 917 000;398 989 000;;;246 192 000;337 981 000;137 000;;;
771;1137746200558;07.03.2013;12;14.08.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;14;5;19;9;Ликвидировано (14.08.2025).;"""Реестр операторов, осуществляющих обработку персональных данных"", ""Реестр аккредитованных органов по сертификации, испытательных лабораторий (центров), органов инспекции, провайдеров МСИ""";138 186 000;162 884 000;150 626 000;757 171 000;41 880 000;162 024 000;237 400 000;230 833 000;285 062 000;128 383 000;160 664 000;234 660 000;225 504 000;255 628 000;128 252 000;109 990 000;162 314 000;150 515 000;754 565 000;41 362 000;97 000
772;1217800079760;21.05.2021;4;15.10.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;;27;65;57;;Ликвидировано (15.10.2024).;;;82 906 000;367 035 000;436 332 000;;;34 252 000;194 098 000;124 237 000;;;8 254 000;167 368 000;20 589 000;;;82 573 000;366 512 000;277 603 000;;
773;1164704054767;06.04.2016;9;14.09.2022;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;80;108;34;;;Прекратило деятельность при присоединении (14.09.2022).;;127 348 000;113 526 000;;;;95 062 000;149 907 000;;;;65 006 000;119 974 000;;;;125 655 000;111 416 000;;;;
774;1113339004558;30.09.2011;14;06.09.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;81;96;67;24;;Ликвидировано (06.09.2024).;"""Реестр операторов, осуществляющих обработку персональных данных""";429 426 000;591 716 000;417 660 000;118 500 000;0;40 406 000;42 537 000;27 768 000;382 000;;39 462 000;39 791 000;21 110 000;313 000;;429 155 000;591 714 000;417 450 000;115 167 000;;
775;1187847133396;10.05.2018;7;08.09.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;17;16;11;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (08.09.2025).;"""Перечень лиц, на которых распространялось действие моратория на банкротство""";3 577 000;728 000;701 000;;;569 000;536 000;373 000;;;1 070 000;2 327 000;1 537 000;;;2 504 000;728 000;701 000;;;
776;1143850005276;18.02.2014;11;19.02.2025;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;29;39;36;31;7;Ликвидировано (19.02.2025).;;94 422 000;246 442 000;67 973 000;100 096 000;68 912 000;76 900 000;71 509 000;65 159 000;61 226 000;9 658 000;73 389 000;64 559 000;57 698 000;54 532 000;8 515 000;81 950 000;233 517 000;67 119 000;94 451 000;40 001 000;-6 195 000
777;1127746271180;11.04.2012;13;01.11.2024;12300 - Общества с ограниченной ответственностью;16 - Частная собственность;16;15;11;;;Исключение из ЕГРЮЛ юридического лица в связи наличием в ЕГРЮЛ сведений о нем, в отношении которых внесена запись о недостоверности (01.11.2024).;"""Получатели поддержки правительства Москвы"", ""Реестр операторов, осуществляющих обработку персональных данных""";51 098 000;49 557 000;42 969 000;;;64 404 000;53 327 000;53 298 000;;;12 583 000;7 015 000;1 062 000;;;51 069 000;46 383 000;42 657 000;;;
